"","dissimilarity","exclusivity","var","D","I","rank.cor"
"1",0.254863659509463,0.397837772930739,"AWC",0.915883917280009,0.994807744350529,-0.876222611803357
"2",0.261851948324058,0.324484454440726,"AWS",0.880999222274647,0.990409718522959,-0.971105453378056
"3",0.0914158752369472,0.0167364016736402,"CaC03",0.967223936170418,0.998047617793022,0.874968186443407
"4",0.135084882284183,0.102673019626852,"Clay",0.895202271288452,0.988418851953276,-0.53706296601621
"5",0.124965939243216,0.149395624995719,"Db3rdbar",0.957952397386213,0.998858110990194,0.0754388139521009
"6",0.214500216611241,0.177546154100006,"Dep2AnyRes",0.88150219495033,0.991328507359766,-0.86120915969564
"7",0.3038150134963,0.277483573884662,"Dep2WatTbl",0.923127294174347,0.994723248201595,-0.999913906808296
"8",0.535254584027519,0.484520693388838,"FrostFDays",0.657110963643153,0.887460163857917,-0.957983382869545
"9",0.196044273030008,0.140422699693031,"LiqLim",0.907974235152253,0.990908582577866,-0.728355752801878
"10",0.511277501675725,0.675475052509462,"OrgMatter",0.84403205764603,0.981235440641921,-0.948372449494358
"11",0.121993720838947,0.146716304512515,"pHwater",0.929290412947438,0.994159901226888,0.62267327855332
"12",0.0442946161044018,0.00829980432988764,"Sand",0.969410478065982,0.999139218119779,0.16347116288039
"13",0.115312686283741,0.0203114005799064,"Silt",0.922194194090963,0.99563472302019,0.0478493135302586
"14",0.163674799929999,0.0758527444120418,"WC15Bar",0.874510939352034,0.988874295825102,-0.616038862009871
"15",0.276289060419159,0.423890288935551,"WC3rdbar",0.900842767153062,0.993318243274797,-0.626390192583649
