"","dissimilarity","exclusivity","var","D","I","rank.cor"
"1",0.218098215167208,0.298944940240502,"AWC_DCP_0to200cm",0.916690636641421,0.994994954267943,-0.877766059958223
"2",0.202350052606097,0.113863452803609,"AWS_WTA_0to200cm",0.874103046059829,0.989181040669985,-0.980289476934246
"3",0.0597273008289756,0.00523560209424079,"CaC03_DCP_0to200cm",0.975914278726332,0.999143491565299,0.960670457751915
"4",0.140737775095655,0.100906639280029,"Clay_DCP_0to200cm",0.89264349819718,0.988031881632945,-0.601670429503511
"5",0.109066188684573,0.091405763069046,"Db3rdbar_DCP_0to200cm",0.950565290581416,0.998419430472591,-0.0659326109430172
"6",0.226953839052582,0.21129341802107,"Dep2AnyRes_DCP",0.862769925762264,0.988247870107535,-0.999771797633889
"7",0.162943075823028,0.0660325960517937,"Dep2WatTbl_DCP",0.942836646175437,0.995962693542721,0.0764608447901545
"8",0.534768337543151,0.472770299241232,"FrostFDays_DCP",0.669184580197313,0.895202411118314,-0.956503760023827
"9",0.192741932335677,0.14728044948924,"LiqLim_DCP_0to200cm",0.903285426320111,0.990707198864984,-0.543628175387342
"10",0.517411500633493,0.588604418563642,"OrgMatter_DCP_0to200cm",0.828820615215362,0.9764686623069,-0.943648022661129
"11",0.108513155064226,0.0904497144498628,"pHwater_DCP_0to200cm",0.929070285001706,0.994264340239216,0.517789238410855
"12",0.0667612556434711,0.0151137159524205,"Sand_DCP_0to200cm",0.965117387749484,0.998855631518755,0.0270453920205614
"13",0.120835610030176,0.0227866752231172,"Silt_DCP_0to200cm",0.922172690509001,0.995614286701297,-0.0451185487654389
"14",0.174188287824077,0.0667212496856371,"WC15Bar_DCP_0to200cm",0.872943723763569,0.988085717627994,-0.659806927096678
"15",0.256699696598694,0.341765467388512,"WC3rdbar_DCP_0to200cm",0.897898224522022,0.992929871360881,-0.65843428252135
