spA_par,spB_par,Dissimilarity,Exclusivity,D,I,a_A,b_A,alpha_A,gamma_A,a_B,b_B,alpha_B,gamma_B
171,171,-0,0,1,1,27,28,1,1,27,28,1,1
171,172,0.79,0.948,0.22568201417979816,0.4787795000675251,27,28,1,1,10,29,1,1
171,173,0.78,0.945,0.22885252063161798,0.4812874224879625,27,28,1,1,11,29,1,1
171,174,0.768,0.942,0.2325948970159265,0.4842760365218671,27,28,1,1,12,29,1,1
171,175,0.756,0.938,0.23673169245452574,0.48765033673197666,27,28,1,1,13,29,1,1
171,176,0.742,0.934,0.2413962754132698,0.49151435170783464,27,28,1,1,14,29,1,1
171,177,0.727,0.929,0.24648429670584926,0.49590580356114466,27,28,1,1,15,29,1,1
171,178,0.71,0.923,0.2515761253075619,0.5007474310194868,27,28,1,1,16,29,1,1
171,179,0.69,0.917,0.25588763372904777,0.5061624620921334,27,28,1,1,17,29,1,1
171,180,0.668,0.909,0.26135228145856915,0.5130284234196875,27,28,1,1,18,29,1,1
171,181,0.643,0.901,0.2720999564784631,0.5235017653421814,27,28,1,1,19,29,1,1
171,182,0.613,0.889,0.2916126580019198,0.5395373063858421,27,28,1,1,20,29,1,1
171,183,0.579,0.876,0.3234482991428911,0.5625871227081127,27,28,1,1,21,29,1,1
171,184,0.54,0.857,0.37404000436645524,0.5943044897050369,27,28,1,1,22,29,1,1
171,185,0.494,0.834,0.43853717475425413,0.6293952412433428,27,28,1,1,23,29,1,1
171,186,0.442,0.8,0.5053784307801532,0.6615949414904485,27,28,1,1,24,29,1,1
171,187,0.386,0.751,0.5789024352399379,0.6965001782609306,27,28,1,1,25,29,1,1
171,188,0.333,0.667,0.6727089598469796,0.7416212102620116,27,28,1,1,26,29,1,1
171,189,0.417,0.501,0.7178061503522579,0.7573794300409943,27,28,1,1,27,29,1,1
171,190,1,1,0.6800072667257984,0.6521528264180203,27,28,1,1,28,29,1,1
171,191,0.698,0.95,0.234034311166746,0.4854027196154179,27,28,1,1,10,30,1,1
171,192,0.685,0.948,0.23762521394169456,0.48810684672579807,27,28,1,1,11,30,1,1
171,193,0.672,0.945,0.24184284296648906,0.4913062166921033,27,28,1,1,12,30,1,1
171,194,0.658,0.941,0.24652656668612394,0.4949145784547795,27,28,1,1,13,30,1,1
171,195,0.643,0.938,0.2518229967076522,0.4990370939369768,27,28,1,1,14,30,1,1
171,196,0.626,0.934,0.25760868407883286,0.5037149808248307,27,28,1,1,15,30,1,1
171,197,0.608,0.929,0.26344297831961294,0.508881378849638,27,28,1,1,16,30,1,1
171,198,0.589,0.924,0.2686954415160463,0.5146575823741961,27,28,1,1,17,30,1,1
171,199,0.567,0.917,0.2753977294945097,0.521880934510665,27,28,1,1,18,30,1,1
171,200,0.545,0.91,0.2872999571444427,0.5325490141031297,27,28,1,1,19,30,1,1
171,201,0.52,0.9,0.30741838611247185,0.5483104343385595,27,28,1,1,20,30,1,1
171,202,0.494,0.889,0.3379470756441759,0.569989176832191,27,28,1,1,21,30,1,1
171,203,0.468,0.875,0.38217814712947606,0.5978751152833874,27,28,1,1,22,30,1,1
171,204,0.442,0.858,0.4324609940607068,0.6257058651911043,27,28,1,1,23,30,1,1
171,205,0.42,0.834,0.47791888533134397,0.6480168703646747,27,28,1,1,24,30,1,1
171,206,0.4,0.8,0.5225815952698425,0.6688527489358157,27,28,1,1,25,30,1,1
171,207,0.386,0.751,0.5677078778009066,0.6881373548923868,27,28,1,1,26,30,1,1
171,208,0.583,0.667,0.5590039018876204,0.676840866284462,27,28,1,1,27,30,1,1
171,209,1,1,0.5322091263137789,0.6077227940285783,27,28,1,1,28,30,1,1
171,211,0.632,0.953,0.24173296562964397,0.49049441571815067,27,28,1,1,10,31,1,1
171,212,0.62,0.95,0.24562391782097093,0.49330554943837845,27,28,1,1,11,31,1,1
171,213,0.607,0.948,0.25016503490008435,0.49660834829590794,27,28,1,1,12,31,1,1
171,214,0.593,0.945,0.25519441473678817,0.5003202784555785,27,28,1,1,13,31,1,1
171,215,0.579,0.942,0.2608340030246775,0.5045402706890341,27,28,1,1,14,31,1,1
171,216,0.564,0.938,0.26695740867662143,0.5093021936502258,27,28,1,1,15,31,1,1
171,217,0.548,0.934,0.27309501050163776,0.5145371091353605,27,28,1,1,16,31,1,1
171,218,0.532,0.929,0.2788061101069418,0.5203476450458531,27,28,1,1,17,31,1,1
171,219,0.515,0.924,0.2860909168269282,0.527507283957176,27,28,1,1,18,31,1,1
171,220,0.498,0.917,0.29815999322941844,0.5378245595593907,27,28,1,1,19,31,1,1
171,221,0.481,0.91,0.31735202357884784,0.5525959750080731,27,28,1,1,20,31,1,1
171,222,0.465,0.9,0.34472445253126904,0.5720423664664471,27,28,1,1,21,31,1,1
171,223,0.451,0.889,0.3811827680859551,0.5954304955741074,27,28,1,1,22,31,1,1
171,224,0.439,0.875,0.4179461769788083,0.616412845188683,27,28,1,1,23,31,1,1
171,225,0.429,0.858,0.4464013902266517,0.6309396890855412,27,28,1,1,24,31,1,1
171,226,0.42,0.834,0.471154755800718,0.6425438500158847,27,28,1,1,25,31,1,1
171,227,0.442,0.8,0.4886413246263883,0.6493516002479435,27,28,1,1,26,31,1,1
171,228,0.675,0.75,0.46265553224557554,0.6311862716615457,27,28,1,1,27,31,1,1
171,229,1,1,0.4401084034540257,0.578005623064029,27,28,1,1,28,31,1,1
171,232,0.586,0.955,0.24929713302025014,0.4951254905824716,27,28,1,1,10,32,1,1
171,233,0.574,0.953,0.2534456709198095,0.4980112810213213,27,28,1,1,11,32,1,1
171,234,0.563,0.95,0.2582372832271841,0.5013778545042856,27,28,1,1,12,32,1,1
171,235,0.551,0.948,0.2634982599597201,0.5051437183499408,27,28,1,1,13,32,1,1
171,236,0.539,0.945,0.26939568892082044,0.5093983146508898,27,28,1,1,14,32,1,1
171,237,0.526,0.942,0.2758138516388364,0.514163443861301,27,28,1,1,15,32,1,1
171,238,0.514,0.938,0.28226113633565986,0.5193619036768995,27,28,1,1,16,32,1,1
171,239,0.501,0.934,0.28849547320253244,0.5250706956474893,27,28,1,1,17,32,1,1
171,240,0.489,0.929,0.29620941235449083,0.5319919858036346,27,28,1,1,18,32,1,1
171,241,0.477,0.923,0.30815406577027415,0.5417442268313851,27,28,1,1,19,32,1,1
171,242,0.467,0.917,0.3261207407392105,0.5552903350491795,27,28,1,1,20,32,1,1
171,243,0.458,0.909,0.3500939377514799,0.5723589503032207,27,28,1,1,21,32,1,1
171,244,0.451,0.9,0.379459519472074,0.5915640291955733,27,28,1,1,22,32,1,1
171,245,0.444,0.889,0.40565008249828727,0.6069915617854131,27,28,1,1,23,32,1,1
171,246,0.439,0.875,0.4225418244682255,0.6159811502270505,27,28,1,1,24,32,1,1
171,247,0.442,0.858,0.4347531058520603,0.6217823515861345,27,28,1,1,25,32,1,1
171,248,0.494,0.834,0.4368149693737484,0.6221226882057068,27,28,1,1,26,32,1,1
171,249,0.733,0.8,0.4061102258830849,0.6023291296422976,27,28,1,1,27,32,1,1
171,250,1,1,0.38577263713303955,0.5590194907519513,27,28,1,1,28,32,1,1
171,254,0.553,0.957,0.25794313307467887,0.5003064959684823,27,28,1,1,10,33,1,1
