spA_par,spB_par,Dissimilarity,Exclusivity,D,I,a_A,b_A,alpha_A,gamma_A,a_B,b_B,alpha_B,gamma_B
2748,2748,0,0,1,1,21,27,1,7,21,27,1,7
2748,2749,0.484,0.167,0.610921145811034,0.6834190528289421,21,27,1,7,22,27,1,7
2748,2750,0.833,0.333,0.3626912891246755,0.5493721645618339,21,27,1,7,23,27,1,7
2748,2751,0.971,0.5,0.3150141481485019,0.5193119465232853,21,27,1,7,24,27,1,7
2748,2752,0.998,0.667,0.3185881132281544,0.5229701844124904,21,27,1,7,25,27,1,7
2748,2753,1,0.834,0.3245584959817239,0.5357382365378808,21,27,1,7,26,27,1,7
2748,2754,0.994,0.667,0.246142828529883,0.44058614901007276,21,27,1,7,10,28,1,7
2748,2755,0.991,0.647,0.23604968695094874,0.441180087298504,21,27,1,7,11,28,1,7
2748,2756,0.987,0.625,0.23060262530683462,0.4445019419862648,21,27,1,7,12,28,1,7
2748,2757,0.979,0.6,0.22834318394909736,0.4499725599105374,21,27,1,7,13,28,1,7
2748,2758,0.968,0.572,0.23035464431456598,0.45841632027987955,21,27,1,7,14,28,1,7
2748,2759,0.948,0.539,0.2415250900390532,0.4725986196105899,21,27,1,7,15,28,1,7
2748,2760,0.915,0.5,0.26439513271778614,0.4933390069874978,21,27,1,7,16,28,1,7
2748,2761,0.858,0.454,0.30866453842073294,0.5237184616535165,21,27,1,7,17,28,1,7
2748,2762,0.757,0.4,0.39128136378451117,0.5691716114561045,21,27,1,7,18,28,1,7
2748,2763,0.582,0.333,0.5192141396838531,0.6358927996837661,21,27,1,7,19,28,1,7
2748,2764,0.304,0.25,0.7236378789293787,0.7503129024543782,21,27,1,7,20,28,1,7
2748,2765,0.091,0.143,0.9345883543887181,0.955450515340808,21,27,1,7,21,28,1,7
2748,2766,0.542,0.286,0.5974574146612636,0.6721641396159228,21,27,1,7,22,28,1,7
2748,2767,0.855,0.429,0.3590779907308781,0.541587023063673,21,27,1,7,23,28,1,7
2748,2768,0.976,0.572,0.3104813864492819,0.5099225729558302,21,27,1,7,24,28,1,7
2748,2769,0.999,0.714,0.31274022013666813,0.5106284890531596,21,27,1,7,25,28,1,7
2748,2770,1,0.857,0.3182752871905534,0.5208201809187104,21,27,1,7,26,28,1,7
2748,2771,1,1,0.32504752771109247,0.53571896022932175,21,27,1,7,27,28,1,7
2748,2772,0.988,0.684,0.23952527037548532,0.44499507334903465,21,27,1,7,10,29,1,7
2748,2773,0.984,0.667,0.2315989231595148,0.4467893247065101,21,27,1,7,11,29,1,7
2748,2774,0.976,0.647,0.22850353818143676,0.4514234114009903,21,27,1,7,12,29,1,7
2748,2775,0.965,0.625,0.229133331264458,0.45844742292957397,21,27,1,7,13,29,1,7
2748,2776,0.947,0.6,0.23483931067169506,0.4687840238848169,21,27,1,7,14,29,1,7
2748,2777,0.918,0.572,0.25054178652379655,0.4851748485030375,21,27,1,7,15,29,1,7
2748,2778,0.872,0.539,0.2795039822472781,0.5085449691038162,21,27,1,7,16,29,1,7
2748,2779,0.797,0.5,0.33172480273488425,0.5418404001223552,21,27,1,7,17,29,1,7
2748,2780,0.675,0.455,0.4226778912310515,0.5898673491891164,21,27,1,7,18,29,1,7
2748,2781,0.486,0.4,0.556688518680124,0.6577499649417251,21,27,1,7,19,29,1,7
2748,2782,0.241,0.333,0.7523895972121424,0.7685593721327643,21,27,1,7,20,29,1,7
2748,2783,0.162,0.25,0.8810548651793532,0.9189106945942017,21,27,1,7,21,29,1,7
2748,2784,0.585,0.375,0.5846684107394324,0.6606653099272037,21,27,1,7,22,29,1,7
2748,2785,0.87,0.5,0.35584751001706894,0.5343599035520242,21,27,1,7,23,29,1,7
