spA_par,spB_par,Dissimilarity,Exclusivity,D,I,a_A,b_A,alpha_A,gamma_A,a_B,b_B,alpha_B,gamma_B
1342,1342,0,0,1,1,15,19,1,4,15,19,1,4
1342,1343,0.471,0.25,0.6785413781667384,0.7175009700011656,15,19,1,4,16,19,1,4
1342,1344,0.847,0.5,0.4417571083082116,0.5771182464433366,15,19,1,4,17,19,1,4
1342,1345,0.989,0.75,0.39334313300464696,0.5359379154885618,15,19,1,4,18,19,1,4
1342,1346,0.82,0.6,0.4449195490001904,0.577882683724826,15,19,1,4,10,20,1,4
1342,1347,0.744,0.556,0.47836975673924564,0.6013125813434549,15,19,1,4,11,20,1,4
1342,1348,0.631,0.5,0.5437949521134355,0.6402683892169845,15,19,1,4,12,20,1,4
1342,1349,0.463,0.429,0.6452763196537665,0.6990366951505307,15,19,1,4,13,20,1,4
1342,1350,0.241,0.334,0.78328341562582815,0.7887306018738591,15,19,1,4,14,20,1,4
1342,1351,0.133,0.2,0.8824492499174967,0.9100581026643191,15,19,1,4,15,20,1,4
1342,1352,0.567,0.4,0.6299132823048983,0.6849787535197351,15,19,1,4,16,20,1,4
1342,1353,0.884,0.6,0.4270732796261757,0.5495729750856666,15,19,1,4,17,20,1,4
1342,1354,0.993,0.8,0.3764837813856454,0.505565084430222,15,19,1,4,18,20,1,4
1342,1355,1,1,0.3935150741056287,0.5281034977068726,15,19,1,4,19,20,1,4
1342,1356,0.731,0.637,0.46975282129089135,0.6001109352677316,15,19,1,4,10,21,1,4
1342,1357,0.64,0.6,0.5096382935308916,0.6248056444319509,15,19,1,4,11,21,1,4
1342,1358,0.518,0.556,0.5762038742822934,0.6633662238926133,15,19,1,4,12,21,1,4
1342,1359,0.367,0.5,0.6661590184662699,0.7176559834183522,15,19,1,4,13,21,1,4
1342,1360,0.227,0.429,0.7652953416798386,0.7907357158699779,15,19,1,4,14,21,1,4
1342,1361,0.226,0.333,0.7875165659154009,0.8413263681624923,15,19,1,4,15,21,1,4
1342,1362,0.627,0.5,0.5650633315521723,0.6510090263200575,15,19,1,4,16,21,1,4
1342,1363,0.904,0.667,0.39463667183365503,0.5269427187285964,15,19,1,4,17,21,1,4
1342,1364,0.995,0.834,0.36197526035776995,0.484768119284971,15,19,1,4,18,21,1,4
1342,1365,1,1,0.3750704439473247,0.49433337674708566,15,19,1,4,19,21,1,4
1342,1367,0.649,0.667,0.48983847293560834,0.6161505235734425,15,19,1,4,10,22,1,4
1342,1368,0.555,0.637,0.5297250749157949,0.6401808787842513,15,19,1,4,11,22,1,4
1342,1369,0.443,0.6,0.589268980624541,0.6756923217994919,15,19,1,4,12,22,1,4
1342,1370,0.328,0.556,0.6610614210247678,0.7220672781522428,15,19,1,4,13,22,1,4
1342,1371,0.251,0.5,0.7267775401425705,0.7755358905466484,15,19,1,4,14,22,1,4
1342,1372,0.296,0.429,0.710073304606242,0.7876887727363638,15,19,1,4,15,22,1,4
1342,1373,0.668,0.572,0.5127636770140049,0.6213895936805595,15,19,1,4,16,22,1,4
1342,1374,0.916,0.715,0.35561208682800605,0.5086005253279855,15,19,1,4,17,22,1,4
1342,1375,0.995,0.858,0.3371989879616265,0.4686375412695155,15,19,1,4,18,22,1,4
1342,1376,1,1,0.3574110359774221,0.47157186282796615,15,19,1,4,19,22,1,4
1342,1379,0.581,0.692,0.5016602404211239,0.6264772351067552,15,19,1,4,10,23,1,4
1342,1380,0.493,0.667,0.5380558637036305,0.648627773308579,15,19,1,4,11,23,1,4
1342,1381,0.4,0.637,0.5881061180416061,0.6797057219555169,15,19,1,4,12,23,1,4
1342,1382,0.319,0.6,0.6428099408132074,0.7171533910599577,15,19,1,4,13,23,1,4
1342,1383,0.278,0.556,0.6838271159252896,0.7533986771572625,15,19,1,4,14,23,1,4
1342,1384,0.351,0.5,0.6455624338553028,0.7444786032047801,15,19,1,4,15,23,1,4
1342,1385,0.698,0.625,0.46926722866299353,0.5962194797865773,15,19,1,4,16,23,1,4
1342,1386,0.924,0.75,0.3254673218371452,0.49347776472128724,15,19,1,4,17,23,1,4
1342,1387,0.996,0.875,0.29461583822813353,0.4559427608243869,15,19,1,4,18,23,1,4
