spA_par,spB_par,Dissimilarity,Exclusivity,D,I,a_A,b_A,alpha_A,gamma_A,a_B,b_B,alpha_B,gamma_B
2083,2083,0,0,1,1,22,26,7,4,22,26,7,4
2083,2084,0.296,0.25,0.7899892246838425,0.8391369875476303,22,26,7,4,23,26,7,4
2083,2085,0.618,0.5,0.6239734545494768,0.7155966142362635,22,26,7,4,24,26,7,4
2083,2086,0.905,0.75,0.5323636026658207,0.6514451192981808,22,26,7,4,25,26,7,4
2083,2087,0.782,0.765,0.26298284190076127,0.5066748995887386,22,26,7,4,10,27,7,4
2083,2088,0.752,0.75,0.27692708854332027,0.5160951202636621,22,26,7,4,11,27,7,4
2083,2089,0.717,0.734,0.29352077635245,0.5272161336374509,22,26,7,4,12,27,7,4
2083,2090,0.676,0.715,0.31344646087374384,0.5405710120736477,22,26,7,4,13,27,7,4
2083,2091,0.628,0.692,0.33833815543065215,0.5569636129360552,22,26,7,4,14,27,7,4
2083,2092,0.571,0.667,0.37056879256348485,0.5776001731489917,22,26,7,4,15,27,7,4
2083,2093,0.505,0.636,0.4133939438183005,0.6042112738136012,22,26,7,4,16,27,7,4
2083,2094,0.431,0.6,0.4708644515987799,0.6391320113164018,22,26,7,4,17,27,7,4
2083,2095,0.35,0.556,0.5475037576523993,0.6852787238909384,22,26,7,4,18,27,7,4
2083,2096,0.272,0.5,0.6453431215893237,0.7455027250061327,22,26,7,4,19,27,7,4
2083,2097,0.215,0.429,0.7567727498872623,0.8179314962804307,22,26,7,4,20,27,7,4
2083,2098,0.186,0.334,0.8406418890670826,0.8686610009854789,22,26,7,4,21,27,7,4
2083,2099,0.381,0.2,0.7834420561104987,0.8135028861822451,22,26,7,4,22,27,7,4
2083,2100,0.649,0.4,0.649938484289373,0.7058479529137811,22,26,7,4,23,27,7,4
2083,2101,0.87,0.6,0.5488862751844864,0.6277288064717814,22,26,7,4,24,27,7,4
2083,2102,0.986,0.8,0.5114877590193745,0.606694987628541,22,26,7,4,25,27,7,4
2083,2103,1,1,0.517838611122663,0.6311464477589401,22,26,7,4,26,27,7,4
2083,2104,0.634,0.778,0.2992716785389433,0.5328416234140613,22,26,7,4,10,28,7,4
2083,2105,0.595,0.765,0.3177527928831979,0.544322849014218,22,26,7,4,11,28,7,4
2083,2106,0.553,0.75,0.339485833373537,0.5577384733306776,22,26,7,4,12,28,7,4
2083,2107,0.508,0.733,0.3654134265745771,0.5736267904261328,22,26,7,4,13,28,7,4
2083,2108,0.46,0.714,0.3970281810688463,0.5927460979987776,22,26,7,4,14,28,7,4
2083,2109,0.412,0.692,0.43606084417469027,0.6161196108041912,22,26,7,4,15,28,7,4
2083,2110,0.367,0.667,0.4840941125655047,0.6449658485981072,22,26,7,4,16,28,7,4
2083,2111,0.329,0.637,0.5423677625389786,0.6803375666968804,22,26,7,4,17,28,7,4
2083,2112,0.301,0.6,0.6095222023822077,0.7219584587459154,22,26,7,4,18,28,7,4
2083,2113,0.279,0.556,0.6775308105726959,0.7646811205601517,22,26,7,4,19,28,7,4
2083,2114,0.282,0.5,0.72440807227139,0.7900946955315198,22,26,7,4,20,28,7,4
2083,2115,0.401,0.429,0.7044414925988431,0.767867578170547,22,26,7,4,21,28,7,4
2083,2116,0.627,0.333,0.6223322376251921,0.6996498650426871,22,26,7,4,22,28,7,4
2083,2117,0.824,0.5,0.5670865164991477,0.6272762048417754,22,26,7,4,23,28,7,4
2083,2118,0.952,0.667,0.5150095949217721,0.5861722629166151,22,26,7,4,24,28,7,4
2083,2119,0.997,0.834,0.5024856769745154,0.5841337682724477,22,26,7,4,25,28,7,4
2083,2120,1,1,0.5091186854922689,0.6031763843679747,22,26,7,4,26,28,7,4
2083,2122,0.515,0.79,0.3358433858713714,0.5551934927601436,22,26,7,4,10,29,7,4
