spA_par,spB_par,Dissimilarity,Exclusivity,D,I,a_A,b_A,alpha_A,gamma_A,a_B,b_B,alpha_B,gamma_B
4307,4307,0,0,1,1,13,23,4,10,13,23,4,10
4307,4308,0.247,0.1,0.8226089043063314,0.8587317822015618,13,23,4,10,14,23,4,10
4307,4309,0.491,0.2,0.6362768163451118,0.7217315908344064,13,23,4,10,15,23,4,10
4307,4310,0.705,0.3,0.4686923407308964,0.6083040380955353,13,23,4,10,16,23,4,10
4307,4311,0.862,0.4,0.35249089811622725,0.5285710125571924,13,23,4,10,17,23,4,10
4307,4312,0.952,0.5,0.29331485178076444,0.48076358324715773,13,23,4,10,18,23,4,10
4307,4313,0.99,0.6,0.2787174831184913,0.460166970644895,13,23,4,10,19,23,4,10
4307,4314,0.999,0.7,0.28360085739353735,0.45888748845899296,13,23,4,10,20,23,4,10
4307,4315,1,0.8,0.29138796452006455,0.466942260572194,13,23,4,10,21,23,4,10
4307,4316,1,0.901,0.30319262978146966,0.49445541658510006,13,23,4,10,22,23,4,10
4307,4317,0.465,0.286,0.6839934057533801,0.74477769281387185,13,23,4,10,10,24,4,10
4307,4318,0.306,0.231,0.7856312905468191,0.8206388714837352,13,23,4,10,11,24,4,10
4307,4319,0.126,0.167,0.90358318787251235,0.9130888382163848,13,23,4,10,12,24,4,10
4307,4320,0.098,0.091,0.9152776546200371,0.9412630397509473,13,23,4,10,13,24,4,10
4307,4321,0.336,0.181,0.7533716899744822,0.8176314159912804,13,23,4,10,14,24,4,10
4307,4322,0.562,0.273,0.5880654018380338,0.6898605893131138,13,23,4,10,15,24,4,10
4307,4323,0.752,0.364,0.43959339273671116,0.5839863138150789,13,23,4,10,16,24,4,10
4307,4324,0.887,0.454,0.33435716742345245,0.5095315276796935,13,23,4,10,17,24,4,10
4307,4325,0.962,0.545,0.27909443993383387,0.46517157482822735,13,23,4,10,18,24,4,10
4307,4326,0.992,0.636,0.2653532863268283,0.44655214298303936,13,23,4,10,19,24,4,10
4307,4327,0.999,0.727,0.26905710383714376,0.4438159134332954,13,23,4,10,20,24,4,10
4307,4328,1,0.818,0.2783307294466767,0.45031814588860963,13,23,4,10,21,24,4,10
4307,4329,1,0.909,0.29210757033382817,0.4703969748602995,13,23,4,10,22,24,4,10
4307,4330,1,1,0.30581033097028376,0.505132267613909,13,23,4,10,23,24,4,10
4307,4331,0.369,0.333,0.7329936753929343,0.7779612893909702,13,23,4,10,10,25,4,10
4307,4332,0.22,0.286,0.8278341284986168,0.8487527649276791,13,23,4,10,11,25,4,10
4307,4333,0.116,0.231,0.900595907301931,0.9164242867379822,13,23,4,10,12,25,4,10
4307,4334,0.183,0.167,0.8389086365781686,0.888233685315862,13,23,4,10,13,25,4,10
4307,4335,0.411,0.25,0.6879584689873215,0.7760317820448709,13,23,4,10,14,25,4,10
4307,4336,0.619,0.333,0.536145158640836,0.6583996563227661,13,23,4,10,15,25,4,10
4307,4337,0.789,0.416,0.4090101850647345,0.5604776576391783,13,23,4,10,16,25,4,10
4307,4338,0.905,0.5,0.31718079867398896,0.4918485511931654,13,23,4,10,17,25,4,10
4307,4339,0.969,0.583,0.2661692770285774,0.4519177373315254,13,23,4,10,18,25,4,10
4307,4340,0.993,0.667,0.253168842509104,0.43568795808041394,13,23,4,10,19,25,4,10
4307,4341,0.999,0.75,0.255851859880303,0.433137541434765,13,23,4,10,20,25,4,10
4307,4342,1,0.834,0.2658094277004781,0.4404365889911739,13,23,4,10,21,25,4,10
4307,4343,1,0.917,0.28291314742367213,0.45979659651387683,13,23,4,10,22,25,4,10
4307,4344,1,1,0.298148318746551,0.48745087137288967,13,23,4,10,23,25,4,10
4307,4346,0.293,0.375,0.7675736419809995,0.801648464147034,13,23,4,10,10,26,4,10
4307,4347,0.186,0.333,0.8382254090820077,0.8602608995898609,13,23,4,10,11,26,4,10
4307,4348,0.143,0.286,0.8612187183940528,0.8918544601115956,13,23,4,10,12,26,4,10
4307,4349,0.258,0.231,0.7701322064157001,0.8405018810377076,13,23,4,10,13,26,4,10
4307,4350,0.474,0.308,0.6291269654857221,0.7369478901002905,13,23,4,10,14,26,4,10
4307,4351,0.666,0.385,0.48953162920324544,0.6287970318976415,13,23,4,10,15,26,4,10
4307,4352,0.818,0.462,0.37343457016432235,0.5387626704102088,13,23,4,10,16,26,4,10
4307,4353,0.92,0.539,0.2955927080230272,0.47631449228308664,13,23,4,10,17,26,4,10
4307,4354,0.974,0.616,0.25501724061528164,0.44114753794767125,13,23,4,10,18,26,4,10
4307,4355,0.995,0.693,0.24293896073014076,0.42757891854675556,13,23,4,10,19,26,4,10
4307,4356,0.999,0.769,0.24556067990466568,0.4264585843625168,13,23,4,10,20,26,4,10
4307,4357,1,0.847,0.25645826221432344,0.4352891050724301,13,23,4,10,21,26,4,10
4307,4358,1,0.924,0.2753791103804102,0.4545507619636159,13,23,4,10,22,26,4,10
4307,4359,1,1,0.2940781067839009,0.48012778323386607,13,23,4,10,23,26,4,10
4307,4362,0.25,0.412,0.781382491001697,0.8144445345242127,13,23,4,10,10,27,4,10
4307,4363,0.189,0.375,0.8235638881902145,0.8553079790476295,13,23,4,10,11,27,4,10
4307,4364,0.177,0.333,0.8099102361783994,0.8574712215963921,13,23,4,10,12,27,4,10
4307,4365,0.324,0.286,0.7081417894007653,0.7976418039875296,13,23,4,10,13,27,4,10
4307,4366,0.528,0.357,0.5762085345419509,0.7012886863627577,13,23,4,10,14,27,4,10
4307,4367,0.705,0.428,0.44776722833750315,0.6018143741877348,13,23,4,10,15,27,4,10
