spA_par,spB_par,Dissimilarity,Exclusivity,D,I,a_A,b_A,alpha_A,gamma_A,a_B,b_B,alpha_B,gamma_B
576,576,0,0,1,1,29,32,4,1,29,32,4,1
576,577,0.226,0.334,0.8521577758657715,0.881306513803133,29,32,4,1,30,32,4,1
576,578,0.493,0.667,0.6681967961218235,0.7471529984149882,29,32,4,1,31,32,4,1
576,579,0.538,0.87,0.3555794139895143,0.5724585495510737,29,32,4,1,10,33,4,1
576,580,0.527,0.864,0.36844937771862174,0.5806821516167209,29,32,4,1,11,33,4,1
576,581,0.516,0.857,0.38275607595982797,0.5896603706090378,29,32,4,1,12,33,4,1
576,582,0.504,0.85,0.3985988333569147,0.5994537616745677,29,32,4,1,13,33,4,1
576,583,0.492,0.842,0.41611840873289285,0.6101165985781414,29,32,4,1,14,33,4,1
576,584,0.479,0.834,0.4353816071783182,0.6216842562296871,29,32,4,1,15,33,4,1
576,585,0.466,0.824,0.45642763849119383,0.63414658367634,29,32,4,1,16,33,4,1
576,586,0.452,0.813,0.47921203724196815,0.6474092571463159,29,32,4,1,17,33,4,1
576,587,0.437,0.8,0.5032434968483137,0.6612741642579923,29,32,4,1,18,33,4,1
576,588,0.421,0.786,0.5280120930376528,0.6754952993929888,29,32,4,1,19,33,4,1
576,589,0.405,0.769,0.5531588733636739,0.6899206225266743,29,32,4,1,20,33,4,1
576,590,0.388,0.75,0.5787484983692859,0.7046745836810189,29,32,4,1,21,33,4,1
576,591,0.371,0.727,0.6054844410172253,0.7202240655726904,29,32,4,1,22,33,4,1
576,592,0.353,0.7,0.6340547183916423,0.7371209218162039,29,32,4,1,23,33,4,1
576,593,0.334,0.667,0.6644526356134131,0.7555476427666616,29,32,4,1,24,33,4,1
576,594,0.313,0.625,0.6963255135334743,0.7749797912393254,29,32,4,1,25,33,4,1
576,595,0.287,0.572,0.727898002550615,0.793404248048372,29,32,4,1,26,33,4,1
576,596,0.265,0.5,0.7533646438808597,0.8055597494268222,29,32,4,1,27,33,4,1
576,597,0.291,0.4,0.7562042934347837,0.8012459757803483,29,32,4,1,28,33,4,1
576,598,0.471,0.25,0.7083934869389391,0.7674531583918257,29,32,4,1,29,33,4,1
576,599,0.711,0.501,0.6439541491182981,0.7008028400205291,29,32,4,1,30,33,4,1
576,600,0.924,0.751,0.5385372526363267,0.6307880804163379,29,32,4,1,31,33,4,1
576,601,1,1,0.5165327699049377,0.6260833770600384,29,32,4,1,32,33,4,1
576,602,0.469,0.875,0.401708075711278,0.5946503288732543,29,32,4,1,10,34,4,1
576,603,0.461,0.87,0.415780774931261,0.6028934221451618,29,32,4,1,11,34,4,1
576,604,0.454,0.864,0.4308648712168993,0.6117277882420503,29,32,4,1,12,34,4,1
