spA_par,spB_par,Dissimilarity,Exclusivity,D,I,a_A,b_A,alpha_A,gamma_A,a_B,b_B,alpha_B,gamma_B
1695,1695,0,0,1,1,13,22,4,4,13,22,4,4
1695,1696,0.141,0.111,0.8843265683114634,0.9114178454980244,13,22,4,4,14,22,4,4
1695,1697,0.29,0.222,0.754527048193316,0.8153418128437854,13,22,4,4,15,22,4,4
1695,1698,0.445,0.333,0.6157158070041189,0.7183240219230815,13,22,4,4,16,22,4,4
1695,1699,0.599,0.445,0.47628431011857764,0.6286525109568155,13,22,4,4,17,22,4,4
1695,1700,0.745,0.556,0.36239228669196166,0.5546236983997593,13,22,4,4,18,22,4,4
1695,1701,0.87,0.667,0.2929032596661105,0.5048074192176533,13,22,4,4,19,22,4,4
1695,1702,0.956,0.778,0.2583384014370871,0.47621742926503385,13,22,4,4,20,22,4,4
1695,1703,0.995,0.889,0.2560753027930992,0.47382678471328443,13,22,4,4,21,22,4,4
1695,1704,0.213,0.308,0.8153442686410696,0.8509987416888869,13,22,4,4,10,23,4,4
1695,1705,0.141,0.25,0.8731398112923953,0.8946642551183903,13,22,4,4,11,23,4,4
1695,1706,0.091,0.181,0.9162164724102092,0.9282876301294671,13,22,4,4,12,23,4,4
1695,1707,0.127,0.1,0.8816447332908615,0.9083909756647947,13,22,4,4,13,23,4,4
1695,1708,0.269,0.2,0.7836086407912984,0.8385375998425748,13,22,4,4,14,23,4,4
1695,1709,0.415,0.3,0.664607768845618,0.7515584782430325,13,22,4,4,15,23,4,4
1695,1710,0.56,0.4,0.5353824030123655,0.6618959110851437,13,22,4,4,16,23,4,4
1695,1711,0.698,0.5,0.4130720959687312,0.5800661348326792,13,22,4,4,17,23,4,4
1695,1712,0.821,0.6,0.32011914969109956,0.5148301331161677,13,22,4,4,18,23,4,4
1695,1713,0.917,0.7,0.262970819373459,0.4708046512625116,13,22,4,4,19,23,4,4
1695,1714,0.976,0.8,0.23894981260421289,0.4452482407195405,13,22,4,4,20,23,4,4
1695,1715,0.998,0.901,0.240872600559625,0.4444853391940963,13,22,4,4,21,23,4,4
1695,1716,1,1,0.2553217488344669,0.47021879876544614,13,22,4,4,22,23,4,4
1695,1717,0.184,0.357,0.8222346114375432,0.8543371139470166,13,22,4,4,10,24,4,4
1695,1718,0.154,0.308,0.8463122634164073,0.8722535282541766,13,22,4,4,11,24,4,4
1695,1719,0.141,0.25,0.837758764567108,0.8666523102653734,13,22,4,4,12,24,4,4
1695,1720,0.235,0.182,0.771226532219042,0.8286016259969163,13,22,4,4,13,24,4,4
1695,1721,0.374,0.273,0.67677755548760965,0.7646618101908235,13,22,4,4,14,24,4,4
1695,1722,0.512,0.364,0.5712534608239821,0.6873002092599194,13,22,4,4,15,24,4,4
1695,1723,0.645,0.455,0.4624889485375182,0.6079400552717394,13,22,4,4,16,24,4,4
1695,1724,0.767,0.546,0.36030527778897403,0.5370173852299039,13,22,4,4,17,24,4,4
1695,1725,0.869,0.637,0.2850390478383972,0.48235134494682685,13,22,4,4,18,24,4,4
1695,1726,0.943,0.727,0.23847523010302585,0.4466424151056604,13,22,4,4,19,24,4,4
1695,1727,0.985,0.819,0.22014371601770166,0.428464227855483,13,22,4,4,20,24,4,4
1695,1728,0.999,0.91,0.22793215035327297,0.43139142973630673,13,22,4,4,21,24,4,4
1695,1729,1,1,0.24360791640183466,0.45221364427528177,13,22,4,4,22,24,4,4
1695,1731,0.2,0.4,0.7880350497343158,0.8290666931523802,13,22,4,4,10,25,4,4
1695,1732,0.184,0.357,0.783963543596196,0.8265648371659436,13,22,4,4,11,25,4,4
1695,1733,0.213,0.308,0.7468353277920123,0.8050917824511219,13,22,4,4,12,25,4,4
1695,1734,0.328,0.25,0.672657950238868,0.7629231491238414,13,22,4,4,13,25,4,4
