spA_par,spB_par,Dissimilarity,Exclusivity,D,I,a_A,b_A,alpha_A,gamma_A,a_B,b_B,alpha_B,gamma_B
1673,1673,0,0,1,1,12,20,4,4,12,20,4,4
1673,1674,0.159,0.125,0.8834848226091787,0.9084500307017398,12,20,4,4,13,20,4,4
1673,1675,0.328,0.25,0.7484662101070454,0.8069188091605848,12,20,4,4,14,20,4,4
1673,1676,0.503,0.375,0.6027177795276331,0.7041430661374581,12,20,4,4,15,20,4,4
1673,1677,0.674,0.5,0.4626926572031732,0.610909279990949,12,20,4,4,16,20,4,4
1673,1678,0.826,0.625,0.35689537299103524,0.5392860747720742,12,20,4,4,17,20,4,4
1673,1679,0.939,0.75,0.2976684938531958,0.49760104028901164,12,20,4,4,18,20,4,4
1673,1680,0.993,0.876,0.2881598251564639,0.492734363770745,12,20,4,4,19,20,4,4
1673,1681,0.154,0.273,0.8752841980138083,0.8910759981927778,12,20,4,4,10,21,4,4
1673,1682,0.1,0.2,0.9122886916913817,0.9249213267198532,12,20,4,4,11,21,4,4
1673,1683,0.141,0.111,0.8708026980139586,0.9033319110738871,12,20,4,4,12,21,4,4
1673,1684,0.301,0.222,0.7720113867505344,0.8318080942368861,12,20,4,4,13,21,4,4
1673,1685,0.464,0.333,0.6590978766917472,0.7418211612092728,12,20,4,4,14,21,4,4
1673,1686,0.624,0.444,0.5308779649630392,0.6491654401459598,12,20,4,4,15,21,4,4
1673,1687,0.771,0.556,0.4115532689891064,0.5656650413555993,12,20,4,4,16,21,4,4
1673,1688,0.89,0.667,0.32395563902449653,0.5022073502924931,12,20,4,4,17,21,4,4
1673,1689,0.967,0.778,0.27907336284823536,0.465525633815826,12,20,4,4,18,21,4,4
1673,1690,0.997,0.889,0.2748719109817478,0.45990013666835006,12,20,4,4,19,21,4,4
1673,1691,1,1,0.2846634491026778,0.4800204546046316,12,20,4,4,20,21,4,4
1673,1692,0.167,0.333,0.841536182763483,0.8672596332660449,12,20,4,4,10,22,4,4
1673,1693,0.154,0.273,0.8271747616000007,0.8610707376255722,12,20,4,4,11,22,4,4
1673,1694,0.26,0.2,0.7601355252196692,0.8224073225890137,12,20,4,4,12,22,4,4
1673,1695,0.415,0.3,0.6680795777906573,0.7577898373241867,12,20,4,4,13,22,4,4
1673,1696,0.567,0.4,0.56631844874405,0.6786112443241779,12,20,4,4,14,22,4,4
1673,1697,0.709,0.5,0.46574879478148,0.5970412197416741,12,20,4,4,15,22,4,4
1673,1698,0.832,0.6,0.36713400698010845,0.5243593900356851,12,20,4,4,16,22,4,4
1673,1699,0.925,0.7,0.29358496561601444,0.4707614704775628,12,20,4,4,17,22,4,4
