spA_par,spB_par,Dissimilarity,Exclusivity,D,I,a_A,b_A,alpha_A,gamma_A,a_B,b_B,alpha_B,gamma_B
2429,2429,0,0,1,1,10,28,10,4,10,28,10,4
2429,2430,0.059,0.055,0.9505584209385171,0.9656463354412802,10,28,10,4,11,28,10,4
2429,2431,0.12,0.111,0.8978275901470765,0.9293278325888275,10,28,10,4,12,28,10,4
2429,2432,0.183,0.166,0.841406852849155,0.8909775955858581,10,28,10,4,13,28,10,4
2429,2433,0.248,0.222,0.7807551178892724,0.8504205792427213,10,28,10,4,14,28,10,4
2429,2434,0.314,0.278,0.7152347035630535,0.8073611771078273,10,28,10,4,15,28,10,4
2429,2435,0.382,0.333,0.6445733943360359,0.7615054068253069,10,28,10,4,16,28,10,4
2429,2436,0.451,0.389,0.5696853114371601,0.7129342473058765,10,28,10,4,17,28,10,4
2429,2437,0.521,0.444,0.4930398081051943,0.6626592961911304,10,28,10,4,18,28,10,4
2429,2438,0.592,0.5,0.41856664753285466,0.6131580098658461,10,28,10,4,19,28,10,4
2429,2439,0.662,0.556,0.35231297739526235,0.5685224160666973,10,28,10,4,20,28,10,4
2429,2440,0.731,0.611,0.3012930843908538,0.5331882357939932,10,28,10,4,21,28,10,4
2429,2441,0.796,0.667,0.2691183434000799,0.5092631934729168,10,28,10,4,22,28,10,4
2429,2442,0.857,0.723,0.2505406785865697,0.49499164126340833,10,28,10,4,23,28,10,4
2429,2443,0.911,0.778,0.2421780450462483,0.48714944474439814,10,28,10,4,24,28,10,4
2429,2444,0.954,0.834,0.24153223624664444,0.4846579709777332,10,28,10,4,25,28,10,4
2429,2445,0.984,0.889,0.2471681247818388,0.48875950354682396,10,28,10,4,26,28,10,4
2429,2446,0.998,0.945,0.2563108077417354,0.4989136391059814,10,28,10,4,27,28,10,4
2429,2447,0.129,0.052,0.9140871564837711,0.9328390770989894,10,28,10,4,10,29,10,4
2429,2448,0.19,0.105,0.8666728706350056,0.9037040272614772,10,28,10,4,11,29,10,4
2429,2449,0.253,0.158,0.8139516656415866,0.8695963397165701,10,28,10,4,12,29,10,4
2429,2450,0.317,0.21,0.7566141509713783,0.832076505127772,10,28,10,4,13,29,10,4
2429,2451,0.382,0.263,0.6947001588189745,0.79165631705859,10,28,10,4,14,29,10,4
2429,2452,0.448,0.316,0.6283394397175122,0.7485374545844852,10,28,10,4,15,29,10,4
2429,2453,0.514,0.368,0.5584712531742904,0.703025600192206,10,28,10,4,16,29,10,4
2429,2454,0.58,0.421,0.4869207622612153,0.6559799676021654,10,28,10,4,17,29,10,4
2429,2455,0.645,0.474,0.4169734492972226,0.6092363046052683,10,28,10,4,18,29,10,4
2429,2456,0.708,0.526,0.35374007601430624,0.5657671812026268,10,28,10,4,19,29,10,4
2429,2457,0.769,0.579,0.30320706234821826,0.5291824226196665,10,28,10,4,20,29,10,4
2429,2458,0.826,0.632,0.26837477692119116,0.502098186383187,10,28,10,4,21,29,10,4
2429,2459,0.878,0.684,0.24647918560528748,0.48454649017810447,10,28,10,4,22,29,10,4
2429,2460,0.922,0.737,0.23440049702400534,0.47418832864351335,10,28,10,4,23,29,10,4
