spA_par,spB_par,Dissimilarity,Exclusivity,D,I,a_A,b_A,alpha_A,gamma_A,a_B,b_B,alpha_B,gamma_B
2354,2354,0,0,1,1,10,23,10,4,10,23,10,4
2354,2355,0.083,0.077,0.9280577267319396,0.9509984808700198,10,23,10,4,11,23,10,4
2354,2356,0.169,0.154,0.8502760685143815,0.8978130790329893,10,23,10,4,12,23,10,4
2354,2357,0.258,0.231,0.7682470758536968,0.8412503923734884,10,23,10,4,13,23,10,4
2354,2358,0.351,0.308,0.6843002981651007,0.7827812063905404,10,23,10,4,14,23,10,4
2354,2359,0.446,0.385,0.601013053332268,0.7244670601491958,10,23,10,4,15,23,10,4
2354,2360,0.543,0.462,0.5208293772202339,0.6684060959144464,10,23,10,4,16,23,10,4
2354,2361,0.64,0.539,0.44468630237238294,0.6159143905421975,10,23,10,4,17,23,10,4
2354,2362,0.736,0.616,0.3728973364222564,0.5671995077779106,10,23,10,4,18,23,10,4
2354,2363,0.825,0.693,0.3114975226683421,0.523762145082469,10,23,10,4,19,23,10,4
2354,2364,0.903,0.77,0.26993235713829056,0.490863094017564,10,23,10,4,20,23,10,4
2354,2365,0.962,0.847,0.2484993477009645,0.47362435134688785,10,23,10,4,21,23,10,4
2354,2366,0.994,0.924,0.2522235365762995,0.48120840409130383,10,23,10,4,22,23,10,4
2354,2367,0.176,0.071,0.828971324520423,0.8749766976377644,10,23,10,4,10,24,10,4
2354,2368,0.262,0.143,0.7667602051475229,0.8346343352770571,10,23,10,4,11,24,10,4
2354,2369,0.349,0.214,0.699835823840828,0.7880399853057676,10,23,10,4,12,24,10,4
2354,2370,0.438,0.286,0.6267480712599993,0.7378997986539466,10,23,10,4,13,24,10,4
2354,2371,0.528,0.357,0.5541215752051853,0.686511297352584,10,23,10,4,14,24,10,4
2354,2372,0.616,0.429,0.4839201195860058,0.6360243785578981,10,23,10,4,15,24,10,4
2354,2373,0.702,0.5,0.41729924168912047,0.5882355916670776,10,23,10,4,16,24,10,4
2354,2374,0.784,0.572,0.35570223107379817,0.5443848140459872,10,23,10,4,17,24,10,4
2354,2375,0.857,0.643,0.30332638239166343,0.5056704119557982,10,23,10,4,18,24,10,4
2354,2376,0.918,0.715,0.26485039605039595,0.47471196105519986,10,23,10,4,19,24,10,4
2354,2377,0.964,0.786,0.24120704303089813,0.45580688303798866,10,23,10,4,20,24,10,4
2354,2378,0.991,0.858,0.23436674544373004,0.45302341493214515,10,23,10,4,21,24,10,4
2354,2379,0.999,0.929,0.24253905530045072,0.46661165207636734,10,23,10,4,22,24,10,4
2354,2380,1,1,0.256933711674848,0.4900168325130436,10,23,10,4,23,24,10,4
2354,2381,0.33,0.133,0.683378323917551,0.776402787972997,10,23,10,4,10,25,10,4
2354,2382,0.414,0.2,0.6258293755912857,0.7387455307375423,10,23,10,4,11,25,10,4
2354,2383,0.498,0.266,0.5670776712171737,0.6975925727560575,10,23,10,4,12,25,10,4
2354,2384,0.581,0.333,0.5091238448935175,0.6546564822447395,10,23,10,4,13,25,10,4
2354,2385,0.661,0.4,0.4515296504413785,0.6117305385291644,10,23,10,4,14,25,10,4
2354,2386,0.737,0.467,0.39433655870122886,0.5705598058891339,10,23,10,4,15,25,10,4
2354,2387,0.808,0.533,0.3422319362452533,0.5326595278969655,10,23,10,4,16,25,10,4
2354,2388,0.87,0.6,0.29759819142283894,0.4993100636387461,10,23,10,4,17,25,10,4
2354,2389,0.922,0.667,0.2631495798953667,0.47209121999937587,10,23,10,4,18,25,10,4
2354,2390,0.961,0.733,0.24026058160388786,0.45350112575855894,10,23,10,4,19,25,10,4
2354,2391,0.986,0.8,0.22951918767810864,0.44635214355039987,10,23,10,4,20,25,10,4
2354,2392,0.997,0.867,0.2314313647394315,0.4517454620093868,10,23,10,4,21,25,10,4
2354,2393,1,0.934,0.24154933916820642,0.46671213719654114,10,23,10,4,22,25,10,4
2354,2394,1,1,0.2533835329462921,0.4849341953942594,10,23,10,4,23,25,10,4
2354,2396,0.462,0.188,0.5711531341354894,0.7043738158362747,10,23,10,4,10,26,10,4
2354,2397,0.54,0.25,0.5205529735773415,0.6703067849458386,10,23,10,4,11,26,10,4
2354,2398,0.617,0.312,0.4706778895564837,0.6344378801424607,10,23,10,4,12,26,10,4
2354,2399,0.69,0.375,0.42310426894064324,0.5980906742943431,10,23,10,4,13,26,10,4
2354,2400,0.759,0.437,0.37949289611333525,0.5626995017706887,10,23,10,4,14,26,10,4
2354,2401,0.822,0.5,0.33495129904642007,0.5296817720181453,10,23,10,4,15,26,10,4
2354,2402,0.877,0.563,0.29632404335375795,0.5003233557899918,10,23,10,4,16,26,10,4
2354,2403,0.922,0.625,0.2653726628387245,0.475847278588564,10,23,10,4,17,26,10,4
2354,2404,0.958,0.688,0.2433171825275987,0.45777089024076467,10,23,10,4,18,26,10,4
2354,2405,0.981,0.75,0.2306755277822311,0.44796261172439733,10,23,10,4,19,26,10,4
2354,2406,0.994,0.813,0.22776479889176582,0.4476464962113511,10,23,10,4,20,26,10,4
2354,2407,0.999,0.875,0.23300871764822984,0.4555398036713879,10,23,10,4,21,26,10,4
2354,2408,1,0.938,0.24135638277194826,0.4670086181444789,10,23,10,4,22,26,10,4
2354,2409,1,1,0.24904236257856616,0.4780973035382077,10,23,10,4,23,26,10,4
2354,2412,0.572,0.235,0.48889616085834453,0.6527344842266449,10,23,10,4,10,27,10,4
2354,2413,0.643,0.294,0.4456335300303713,0.6223634620454362,10,23,10,4,11,27,10,4
2354,2414,0.71,0.353,0.40438840759111305,0.5912285321874686,10,23,10,4,12,27,10,4
2354,2415,0.773,0.412,0.3666565974289988,0.5604286322455743,10,23,10,4,13,27,10,4
2354,2416,0.829,0.47,0.33173400293712274,0.5311542289035596,10,23,10,4,14,27,10,4
2354,2417,0.879,0.529,0.2973429405438317,0.5045829920158442,10,23,10,4,15,27,10,4
2354,2418,0.921,0.588,0.2688896866135593,0.48179919517045455,10,23,10,4,16,27,10,4
2354,2419,0.953,0.647,0.2472515187943397,0.4638606598595133,10,23,10,4,17,27,10,4
2354,2420,0.977,0.706,0.2329410669862223,0.45193063115122734,10,23,10,4,18,27,10,4
2354,2421,0.991,0.765,0.2264712709854414,0.4469790130108663,10,23,10,4,19,27,10,4
2354,2422,0.998,0.824,0.22693089089823004,0.4487920408575553,10,23,10,4,20,27,10,4
2354,2423,1,0.883,0.23188479671529694,0.45501198718839864,10,23,10,4,21,27,10,4
2354,2424,1,0.942,0.23766312001281265,0.4622899271632055,10,23,10,4,22,27,10,4
2354,2425,1,1,0.24294718923340963,0.4695256670636022,10,23,10,4,23,27,10,4
2354,2429,0.661,0.278,0.4283972140896618,0.614765760165491,10,23,10,4,10,28,10,4
2354,2430,0.724,0.333,0.39195697982254396,0.5876853378530189,10,23,10,4,11,28,10,4
2354,2431,0.782,0.389,0.3583395451997029,0.5604921999505857,10,23,10,4,12,28,10,4
2354,2432,0.834,0.444,0.3288428370130112,0.5341286959612975,10,23,10,4,13,28,10,4
2354,2433,0.88,0.5,0.29858308379169907,0.5096006091207446,10,23,10,4,14,28,10,4
2354,2434,0.918,0.556,0.27186238393767415,0.48788314926481047,10,23,10,4,15,28,10,4
2354,2435,0.949,0.611,0.2504775228526047,0.4698531073219945,10,23,10,4,16,28,10,4
2354,2436,0.972,0.667,0.2349616621100088,0.45631951274532767,10,23,10,4,17,28,10,4
2354,2437,0.987,0.722,0.22587214872475836,0.44799317771575775,10,23,10,4,18,28,10,4
2354,2438,0.995,0.778,0.2229295482902276,0.44512056364383334,10,23,10,4,19,28,10,4
2354,2439,0.999,0.834,0.2247653267907832,0.4468911203733692,10,23,10,4,20,28,10,4
2354,2440,1,0.889,0.2290423453039192,0.45132877296550544,10,23,10,4,21,28,10,4
2354,2441,1,0.945,0.2337295401347469,0.45669006412397195,10,23,10,4,22,28,10,4
2354,2442,1,1,0.23856665910674024,0.4627676600503703,10,23,10,4,23,28,10,4
2354,2447,0.734,0.316,0.38273609358517446,0.5854248758516469,10,23,10,4,10,29,10,4
2354,2448,0.788,0.368,0.35211373300063586,0.5611191250508518,10,23,10,4,11,29,10,4
2354,2449,0.836,0.421,0.3247776362702174,0.537128461274735,10,23,10,4,12,29,10,4
2354,2450,0.879,0.474,0.2993872522358122,0.5142740334256133,10,23,10,4,13,29,10,4
2354,2451,0.915,0.527,0.2739922609282628,0.4934096172362089,10,23,10,4,14,29,10,4
2354,2452,0.945,0.579,0.2529109531214927,0.47533290018784236,10,23,10,4,15,29,10,4
2354,2453,0.967,0.632,0.23662063610981499,0.4607288571535305,10,23,10,4,16,29,10,4
2354,2454,0.983,0.684,0.22573262971927033,0.45017019262997304,10,23,10,4,17,29,10,4
2354,2455,0.993,0.737,0.22031806355012618,0.44402606769405795,10,23,10,4,18,29,10,4
2354,2456,0.998,0.79,0.21968047140861324,0.44218478527222005,10,23,10,4,19,29,10,4
2354,2457,1,0.843,0.2221622766941762,0.4437717741944447,10,23,10,4,20,29,10,4
2354,2458,1,0.895,0.2260151984447667,0.44730192267465785,10,23,10,4,21,29,10,4
2354,2459,1,0.948,0.2301031429699295,0.4516700282047921,10,23,10,4,22,29,10,4
2354,2460,1,1,0.23431138671071006,0.45659513230733817,10,23,10,4,23,29,10,4
2354,2466,0.791,0.35,0.34664690913535157,0.5615974964579424,10,23,10,4,10,30,10,4
2354,2467,0.837,0.4,0.3208675622218976,0.5396201780836625,10,23,10,4,11,30,10,4
2354,2468,0.877,0.45,0.2985650041100456,0.5182558452405426,10,23,10,4,12,30,10,4
2354,2469,0.912,0.5,0.27509137101792724,0.4982247557765056,10,23,10,4,13,30,10,4
2354,2470,0.94,0.55,0.25432550592963454,0.4802490643238345,10,23,10,4,14,30,10,4
2354,2471,0.962,0.6,0.23756291867180235,0.46497144634731247,10,23,10,4,15,30,10,4
2354,2472,0.979,0.65,0.2253956546714152,0.4529104147127456,10,23,10,4,16,30,10,4
2354,2473,0.989,0.7,0.21804327171393523,0.4444411274813381,10,23,10,4,17,30,10,4
2354,2474,0.996,0.75,0.2152161535934618,0.4396955531039033,10,23,10,4,18,30,10,4
2354,2475,0.999,0.8,0.21594478783750448,0.4383779783760584,10,23,10,4,19,30,10,4
2354,2476,1,0.85,0.21860172121936283,0.4396313846458456,10,23,10,4,20,30,10,4
2354,2477,1,0.9,0.221898330028807,0.44226052602683585,10,23,10,4,21,30,10,4
2354,2478,1,0.95,0.22526485426018927,0.44544750714733927,10,23,10,4,22,30,10,4
2354,2479,1,1,0.2286512843216003,0.44898116511764175,10,23,10,4,23,30,10,4
2354,2486,0.837,0.381,0.3167007633887752,0.5412945660938531,10,23,10,4,10,31,10,4
2354,2487,0.875,0.428,0.2948409994251766,0.5212992869968929,10,23,10,4,11,31,10,4
2354,2488,0.908,0.476,0.27506658293881603,0.5021383427864413,10,23,10,4,12,31,10,4
2354,2489,0.936,0.524,0.2546671200784144,0.4844438686755206,10,23,10,4,13,31,10,4
2354,2490,0.958,0.572,0.23768345200533358,0.46882205379135233,10,23,10,4,14,31,10,4
2354,2491,0.974,0.619,0.22462944030900767,0.455783151050288,10,23,10,4,15,31,10,4
2354,2492,0.986,0.667,0.21582706190143974,0.4457073714969765,10,23,10,4,16,31,10,4
2354,2493,0.993,0.714,0.21118154496850994,0.4388161341940118,10,23,10,4,17,31,10,4
2354,2494,0.998,0.762,0.21012993807478975,0.4350871923919021,10,23,10,4,18,31,10,4
2354,2495,0.999,0.81,0.21163134349303714,0.4341418504609379,10,23,10,4,19,31,10,4
2354,2496,1,0.858,0.2143795094468146,0.43519437902599123,10,23,10,4,20,31,10,4
2354,2497,1,0.905,0.21742703742823344,0.43731837266833073,10,23,10,4,21,31,10,4
2354,2498,1,0.953,0.2204914058260813,0.4399790128858869,10,23,10,4,22,31,10,4
2354,2499,1,1,0.22368399565341812,0.44314133789014587,10,23,10,4,23,31,10,4
2354,2507,0.873,0.409,0.29082552823620744,0.5234387707609922,10,23,10,4,10,32,10,4
