spA_par,spB_par,Dissimilarity,Exclusivity,D,I,a_A,b_A,alpha_A,gamma_A,a_B,b_B,alpha_B,gamma_B
4753,4753,0,0,1,1,22,30,7,10,22,30,7,10
4753,4754,0.262,0.125,0.8098382599369505,0.8538515450629335,22,30,7,10,23,30,7,10
4753,4755,0.524,0.25,0.6541477142241044,0.7376411191693873,22,30,7,10,24,30,7,10
4753,4756,0.751,0.375,0.5277484797661376,0.6491911716914356,22,30,7,10,25,30,7,10
4753,4757,0.907,0.5,0.45450065536032147,0.5951521380075799,22,30,7,10,26,30,7,10
4753,4758,0.981,0.625,0.43066495842618646,0.5736998180530761,22,30,7,10,27,30,7,10
4753,4759,0.999,0.75,0.43507789837801825,0.5817955766256845,22,30,7,10,28,30,7,10
4753,4760,1,0.876,0.44789735217693416,0.608371109376429,22,30,7,10,29,30,7,10
4753,4761,0.948,0.619,0.21193027397378872,0.45731708171823193,22,30,7,10,10,31,7,10
4753,4762,0.932,0.6,0.21876595465868554,0.46406597589489207,22,30,7,10,11,31,7,10
4753,4763,0.912,0.579,0.22817594478654635,0.472369418565738,22,30,7,10,12,31,7,10
4753,4764,0.884,0.556,0.24107541804113441,0.48270224436819686,22,30,7,10,13,31,7,10
4753,4765,0.848,0.529,0.2584053300891398,0.4958742639040481,22,30,7,10,14,31,7,10
4753,4766,0.8,0.5,0.28129103162652813,0.5132571022385382,22,30,7,10,15,31,7,10
4753,4767,0.737,0.467,0.31384855246346566,0.5371045974713604,22,30,7,10,16,31,7,10
4753,4768,0.655,0.429,0.3623446854503828,0.5707917450633917,22,30,7,10,17,31,7,10
4753,4769,0.549,0.384,0.4353474643947498,0.619033155564992,22,30,7,10,18,31,7,10
4753,4770,0.416,0.333,0.5439410899043916,0.6880469151989443,22,30,7,10,19,31,7,10
4753,4771,0.254,0.273,0.6976588858796973,0.7841563367564258,22,30,7,10,20,31,7,10
4753,4772,0.106,0.2,0.8764299071416626,0.903110485230319,22,30,7,10,21,31,7,10
4753,4773,0.167,0.111,0.8849819313452794,0.9138977984548362,22,30,7,10,22,31,7,10
