spA_par,spB_par,Dissimilarity,Exclusivity,D,I,a_A,b_A,alpha_A,gamma_A,a_B,b_B,alpha_B,gamma_B
2238,2238,0,0,1,1,21,34,7,4,21,34,7,4
2238,2239,0.087,0.077,0.930500898758624,0.9504975397190915,21,34,7,4,22,34,7,4
2238,2240,0.178,0.154,0.8577079937785479,0.8998437496421333,21,34,7,4,23,34,7,4
2238,2241,0.272,0.231,0.7817095475328406,0.8478794410379374,21,34,7,4,24,34,7,4
2238,2242,0.369,0.308,0.703579345622473,0.7949386083459447,21,34,7,4,25,34,7,4
2238,2243,0.468,0.385,0.6253617069564272,0.7420519992812089,21,34,7,4,26,34,7,4
2238,2244,0.569,0.462,0.5493692761422366,0.691644894791068,21,34,7,4,27,34,7,4
2238,2245,0.668,0.539,0.4783108690716008,0.6461782303529053,21,34,7,4,28,34,7,4
2238,2246,0.763,0.616,0.41414219656036455,0.6058666934214921,21,34,7,4,29,34,7,4
2238,2247,0.85,0.693,0.3616141704051383,0.5715116236557768,21,34,7,4,30,34,7,4
2238,2248,0.922,0.77,0.3322676959051354,0.5491812253545008,21,34,7,4,31,34,7,4
2238,2249,0.972,0.847,0.3343537763043609,0.5441501755933081,21,34,7,4,32,34,7,4
2238,2250,0.996,0.924,0.3576818665431116,0.5576146046040124,21,34,7,4,33,34,7,4
2238,2251,0.462,0.48,0.4574827892568867,0.6327760605225914,21,34,7,4,10,35,7,4
2238,2252,0.427,0.458,0.4947769292607004,0.6551202429114755,21,34,7,4,11,35,7,4
2238,2253,0.39,0.435,0.5369708581598305,0.6804028585764181,21,34,7,4,12,35,7,4
2238,2254,0.35,0.409,0.5843667398576194,0.7089370096847369,21,34,7,4,13,35,7,4
2238,2255,0.308,0.381,0.6369343358205581,0.7409480974162073,21,34,7,4,14,35,7,4
2238,2256,0.263,0.35,0.6941325135362573,0.7764596568420583,21,34,7,4,15,35,7,4
2238,2257,0.216,0.316,0.754709324289827,0.8151201616814451,21,34,7,4,16,35,7,4
2238,2258,0.169,0.278,0.8163140652313255,0.855936728438031,21,34,7,4,17,35,7,4
2238,2259,0.127,0.235,0.8735311018494667,0.8966659515192442,21,34,7,4,18,35,7,4
2238,2260,0.094,0.187,0.9152368508599882,0.9313792611388523,21,34,7,4,19,35,7,4
2238,2261,0.074,0.133,0.9249233761589917,0.9429028117180499,21,34,7,4,20,35,7,4
2238,2262,0.133,0.071,0.882417594392145,0.9194887613906487,21,34,7,4,21,35,7,4
2238,2263,0.222,0.143,0.8233105322066512,0.8796463040196039,21,34,7,4,22,35,7,4
2238,2264,0.314,0.214,0.7606478443546056,0.8342740711400173,21,34,7,4,23,35,7,4
2238,2265,0.408,0.286,0.6914241529869625,0.7864728858632999,21,34,7,4,24,35,7,4
2238,2266,0.501,0.357,0.6205172734378599,0.7377180338563265,21,34,7,4,25,35,7,4
2238,2267,0.595,0.429,0.5506034133288518,0.6895922629279423,21,34,7,4,26,35,7,4
2238,2268,0.686,0.5,0.4842989410034839,0.6442354199890951,21,34,7,4,27,35,7,4
2238,2269,0.771,0.572,0.42292516659958845,0.6032583527687307,21,34,7,4,28,35,7,4
2238,2270,0.849,0.643,0.369195530098121,0.5673503783488671,21,34,7,4,29,35,7,4
2238,2271,0.913,0.715,0.3298305949436665,0.5391710256912626,21,34,7,4,30,35,7,4
2238,2272,0.961,0.786,0.31519056327417483,0.5244119018978008,21,34,7,4,31,35,7,4
2238,2273,0.989,0.858,0.3266932309926658,0.5252138949046286,21,34,7,4,32,35,7,4
2238,2274,0.999,0.929,0.3486964812833546,0.5404975654245048,21,34,7,4,33,35,7,4
2238,2275,1,1,0.3678526622650442,0.5633302862345477,21,34,7,4,34,35,7,4
2238,2331,1,1,0.21489821778917528,0.4331258354388512,21,34,7,4,10,21,10,4
2238,2332,1,1,0.22396403607892879,0.4367256304086181,21,34,7,4,11,21,10,4
2238,2333,1,1,0.23579219060409873,0.4409569570697611,21,34,7,4,12,21,10,4
2238,2334,1,1,0.24847905709212725,0.44593459512979294,21,34,7,4,13,21,10,4
2238,2335,1,1,0.25857542498147923,0.4517815408800514,21,34,7,4,14,21,10,4
2238,2336,1,1,0.26897086746336973,0.4585876216300725,21,34,7,4,15,21,10,4
2238,2337,1,1,0.27985489204961456,0.46638331367989094,21,34,7,4,16,21,10,4
2238,2338,1,1,0.291184349117534,0.47535231826932356,21,34,7,4,17,21,10,4
2238,2339,1,1,0.3040731011814577,0.4867853957325273,21,34,7,4,18,21,10,4
2238,2340,1,1,0.320839761856465,0.5037910421032006,21,34,7,4,19,21,10,4
2238,2341,1,1,0.34744673333839904,0.5354834753219412,21,34,7,4,20,21,10,4
2238,2342,1,0.959,0.20565103642706895,0.42889249866288937,21,34,7,4,10,22,10,4
2238,2343,1,0.957,0.21332863636652932,0.4318338585426108,21,34,7,4,11,22,10,4
2238,2344,1,0.955,0.2229215167141776,0.43510613591426583,21,34,7,4,12,22,10,4
2238,2345,1,0.953,0.23478587644977233,0.43870646254415857,21,34,7,4,13,22,10,4
2238,2346,1,0.95,0.24721821461410565,0.4426351897993662,21,34,7,4,14,22,10,4
2238,2347,1,0.948,0.2559917406361143,0.44696975603011324,21,34,7,4,15,22,10,4
2238,2348,1,0.945,0.26433376819786736,0.4520181481677309,21,34,7,4,16,22,10,4
2238,2349,1,0.942,0.27323924340839034,0.4585268365629751,21,34,7,4,17,22,10,4
2238,2350,1,0.938,0.28400554166763126,0.46775154704990296,21,34,7,4,18,22,10,4
2238,2351,1,0.934,0.2978622918242305,0.4808659901336443,21,34,7,4,19,22,10,4
2238,2352,1,0.929,0.3151961774130917,0.4981374557917647,21,34,7,4,20,22,10,4
2238,2353,1,0.924,0.34187833529342493,0.5284027776253348,21,34,7,4,21,22,10,4
2238,2354,1,0.917,0.1955818193153065,0.42422506149575834,21,34,7,4,10,23,10,4
2238,2355,1,0.913,0.2010134732527168,0.4263597726007232,21,34,7,4,11,23,10,4
2238,2356,1,0.909,0.20758700719883216,0.42861247514981404,21,34,7,4,12,23,10,4
2238,2357,1,0.905,0.21553069047070128,0.43099049612232154,21,34,7,4,13,23,10,4
2238,2358,1,0.9,0.22515672003063636,0.43356807040126755,21,34,7,4,14,23,10,4
2238,2359,1,0.895,0.23672586689108654,0.4365548025668734,21,34,7,4,15,23,10,4
2238,2360,1,0.889,0.24792779292496692,0.44033270901132804,21,34,7,4,16,23,10,4
