spA_par,spB_par,Dissimilarity,Exclusivity,D,I,a_A,b_A,alpha_A,gamma_A,a_B,b_B,alpha_B,gamma_B
5065,5065,0,0,1,1,28,29,10,10,28,29,10,10
5065,5066,1,0.951,0.24296502027256628,0.4857338383341919,28,29,10,10,10,30,10,10
5065,5067,1,0.948,0.24510685878842042,0.4869866002596901,28,29,10,10,11,30,10,10
5065,5068,1,0.945,0.24645687929903148,0.488522965279224,28,29,10,10,12,30,10,10
5065,5069,1,0.942,0.24797210727518992,0.4908012228737939,28,29,10,10,13,30,10,10
5065,5070,1,0.938,0.2514038897261305,0.49454398779540476,28,29,10,10,14,30,10,10
5065,5071,1,0.934,0.2585355513152888,0.5006947799757164,28,29,10,10,15,30,10,10
5065,5072,1,0.929,0.27098659363667355,0.5102382870183637,28,29,10,10,16,30,10,10
5065,5073,1,0.923,0.2906891107744185,0.5239947401970146,28,29,10,10,17,30,10,10
5065,5074,0.999,0.917,0.318932938808536,0.5423435854167324,28,29,10,10,18,30,10,10
5065,5075,0.999,0.909,0.35621970421695204,0.5644620842779602,28,29,10,10,19,30,10,10
5065,5076,0.998,0.901,0.39933264907939536,0.5870830883097076,28,29,10,10,20,30,10,10
5065,5077,0.995,0.889,0.438765778131298,0.6055740213285878,28,29,10,10,21,30,10,10
5065,5078,0.988,0.876,0.4688446132681192,0.6193741260880781,28,29,10,10,22,30,10,10
5065,5079,0.971,0.857,0.4990573905921203,0.6339569694223062,28,29,10,10,23,30,10,10
5065,5080,0.928,0.834,0.5407394379884723,0.6551207498215301,28,29,10,10,24,30,10,10
5065,5081,0.815,0.8,0.5997472969607138,0.6884736489719854,28,29,10,10,25,30,10,10
5065,5082,0.56,0.751,0.6872890492253576,0.7449773976605139,28,29,10,10,26,30,10,10
5065,5083,0.333,0.667,0.7890799976573319,0.8192288273234912,28,29,10,10,27,30,10,10
5065,5084,0.875,0.501,0.7544316036603047,0.742261210398464,28,29,10,10,28,30,10,10
5065,5085,1,1,0.8394879043681218,0.7523423019600908,28,29,10,10,29,30,10,10
