spA_par,spB_par,Dissimilarity,Exclusivity,D,I,a_A,b_A,alpha_A,gamma_A,a_B,b_B,alpha_B,gamma_B
397,397,0,0,1,1,15,22,4,1,15,22,4,1
397,398,0.094,0.143,0.9179428170034861,0.9366804691114735,15,22,4,1,16,22,4,1
397,399,0.192,0.286,0.8268723683203336,0.8678574454016129,15,22,4,1,17,22,4,1
397,400,0.296,0.429,0.7259592868057863,0.7959631391949789,15,22,4,1,18,22,4,1
397,401,0.409,0.572,0.6103620256914883,0.7202990116669696,15,22,4,1,19,22,4,1
397,402,0.538,0.715,0.48135354540273456,0.6375157357996248,15,22,4,1,20,22,4,1
397,403,0.7,0.857,0.35855542900138493,0.5605629696518177,15,22,4,1,21,22,4,1
397,404,0.231,0.461,0.7402674802163043,0.7917263584430915,15,22,4,1,10,23,4,1
397,405,0.208,0.417,0.7645447613690968,0.8039899877309116,15,22,4,1,11,23,4,1
397,406,0.182,0.364,0.7867764460414756,0.813155615037789,15,22,4,1,12,23,4,1
397,407,0.158,0.3,0.8021027568528942,0.815980642136379,15,22,4,1,13,23,4,1
397,408,0.158,0.222,0.7985099350685646,0.8082889277744909,15,22,4,1,14,23,4,1
397,409,0.234,0.125,0.7607434824220987,0.7865887547460075,15,22,4,1,15,23,4,1
397,410,0.342,0.25,0.7060209569135847,0.7502107709770003,15,22,4,1,16,23,4,1
397,411,0.455,0.375,0.6387707495370811,0.7018571911100734,15,22,4,1,17,23,4,1
397,412,0.573,0.5,0.5522464847206381,0.6454168037406498,15,22,4,1,18,23,4,1
397,413,0.698,0.625,0.4570213811804712,0.5834126505804196,15,22,4,1,19,23,4,1
397,414,0.829,0.75,0.36052958271307545,0.5196910963492717,15,22,4,1,20,23,4,1
397,415,0.951,0.876,0.27966525583264157,0.4705114178096296,15,22,4,1,21,23,4,1
397,416,1,1,0.26470795853415396,0.47363026944803366,15,22,4,1,22,23,4,1
397,417,0.254,0.5,0.6772906419739111,0.7437186399998204,15,22,4,1,10,24,4,1
397,418,0.245,0.462,0.6829985235705783,0.7440622492448403,15,22,4,1,11,24,4,1
397,419,0.244,0.416,0.6819811731408569,0.740325788563303,15,22,4,1,12,24,4,1
397,420,0.264,0.364,0.6694381143062222,0.730913007275451,15,22,4,1,13,24,4,1
397,421,0.321,0.3,0.6401862478046167,0.7141989781982703,15,22,4,1,14,24,4,1
397,422,0.419,0.222,0.5950730863948773,0.6889822801992536,15,22,4,1,15,24,4,1
397,423,0.525,0.333,0.5437469064543216,0.6551430499554646,15,22,4,1,16,24,4,1
397,424,0.632,0.445,0.48929684210818336,0.6141616559839733,15,22,4,1,17,24,4,1
397,425,0.739,0.556,0.4284296716859487,0.5685645043679763,15,22,4,1,18,24,4,1
397,426,0.841,0.667,0.3560480882934839,0.5211443637109148,15,22,4,1,19,24,4,1
397,427,0.93,0.778,0.28956652060849064,0.4775479469964472,15,22,4,1,20,24,4,1
397,428,0.989,0.889,0.24921938729591264,0.4519919256840693,15,22,4,1,21,24,4,1
397,429,1,1,0.2537463595297318,0.46124954086517944,15,22,4,1,22,24,4,1
397,431,0.3,0.533,0.6143386265035244,0.7062721441236605,15,22,4,1,10,25,4,1
397,432,0.311,0.5,0.608877351370158,0.7017193481806535,15,22,4,1,11,25,4,1
397,433,0.338,0.462,0.5960687809396108,0.6935013522035818,15,22,4,1,12,25,4,1
397,434,0.387,0.416,0.5733612135281684,0.6806335726172732,15,22,4,1,13,25,4,1
397,435,0.465,0.364,0.5391121167343277,0.6621834251934233,15,22,4,1,14,25,4,1
397,436,0.561,0.3,0.49668992108691457,0.6375406748573922,15,22,4,1,15,25,4,1
397,437,0.657,0.4,0.45182239801277113,0.606862686094648,15,22,4,1,16,25,4,1
397,438,0.75,0.5,0.4070028055313242,0.5714877942671615,15,22,4,1,17,25,4,1
397,439,0.837,0.6,0.3595987264583119,0.5336752777825697,15,22,4,1,18,25,4,1
397,440,0.912,0.7,0.3049085779156381,0.4963702532484958,15,22,4,1,19,25,4,1
397,441,0.969,0.8,0.2611658370997433,0.46527183254283044,15,22,4,1,20,25,4,1
397,442,0.997,0.9,0.2432993879012153,0.4514223505702992,15,22,4,1,21,25,4,1
397,443,1,1,0.2526615266349991,0.4621314614501433,15,22,4,1,22,25,4,1
397,446,0.364,0.563,0.5630831007477327,0.6792848315914841,15,22,4,1,10,26,4,1
397,447,0.393,0.533,0.5516355706401659,0.6724313535783839,15,22,4,1,11,26,4,1
397,448,0.436,0.5,0.5336218367786534,0.6623318862862215,15,22,4,1,12,26,4,1
397,449,0.499,0.462,0.507626330888794,0.6482943613740384,15,22,4,1,13,26,4,1
397,450,0.579,0.417,0.47375072921982564,0.6297077044226987,15,22,4,1,14,26,4,1
397,451,0.666,0.364,0.4355305857312396,0.6062525862554338,15,22,4,1,15,26,4,1
397,452,0.75,0.454,0.39709551698502477,0.5782566203477839,15,22,4,1,16,26,4,1
397,453,0.828,0.546,0.36100050197310896,0.547030293553904,15,22,4,1,17,26,4,1
397,454,0.895,0.637,0.319318801722278,0.5147044598920972,15,22,4,1,18,26,4,1
397,455,0.949,0.727,0.2775259443632103,0.48418638055603735,15,22,4,1,19,26,4,1
397,456,0.984,0.819,0.24880378137616688,0.46064962179684765,15,22,4,1,20,26,4,1
397,457,0.999,0.909,0.24190601492766417,0.45220512850723527,15,22,4,1,21,26,4,1
397,458,1,1,0.25089022219713397,0.46091418661560424,15,22,4,1,22,26,4,1
397,462,0.434,0.589,0.5184938321689211,0.6575298071640916,15,22,4,1,10,27,4,1
397,463,0.474,0.563,0.5034820887099376,0.6492881533008779,15,22,4,1,11,27,4,1
397,464,0.526,0.533,0.4827774299125499,0.6381354906629375,15,22,4,1,12,27,4,1
397,465,0.592,0.5,0.45580617456719297,0.6235630658077752,15,22,4,1,13,27,4,1
397,466,0.668,0.461,0.42356113346319824,0.6051634306826285,15,22,4,1,14,27,4,1
397,467,0.745,0.417,0.38928515130383723,0.5828093635888594,15,22,4,1,15,27,4,1
397,468,0.816,0.5,0.35625173772989904,0.5569497991392862,15,22,4,1,16,27,4,1
397,469,0.879,0.583,0.32701859444340475,0.5288800456703794,15,22,4,1,17,27,4,1
397,470,0.931,0.667,0.29025314645119416,0.500612411663303,15,22,4,1,18,27,4,1
397,471,0.969,0.75,0.25878489956615447,0.47488367964928235,15,22,4,1,19,27,4,1
397,472,0.992,0.834,0.24025513612583904,0.45611439906558426,15,22,4,1,20,27,4,1
397,473,0.999,0.917,0.23861198871725908,0.45001394719830934,15,22,4,1,21,27,4,1
397,474,1,1,0.24644788861213096,0.45615439352013576,15,22,4,1,22,27,4,1
397,479,0.503,0.611,0.4789376951300067,0.638379069656624,15,22,4,1,10,28,4,1
397,480,0.548,0.588,0.4617758972125172,0.6291882707465397,15,22,4,1,11,28,4,1
397,481,0.604,0.563,0.43981292816017514,0.617367530160855,15,22,4,1,12,28,4,1
397,482,0.668,0.533,0.4130888076689532,0.6025418856532967,15,22,4,1,13,28,4,1
397,483,0.737,0.5,0.3829931028259316,0.5844532497652573,15,22,4,1,14,28,4,1
397,484,0.803,0.462,0.35245167689993295,0.5631169128562754,15,22,4,1,15,28,4,1
397,485,0.863,0.539,0.3242127512122248,0.5390711755712478,15,22,4,1,16,28,4,1
397,486,0.913,0.616,0.2995931828346037,0.5135903045678154,15,22,4,1,17,28,4,1
397,487,0.953,0.693,0.26914143330449214,0.4885634069507129,15,22,4,1,18,28,4,1
397,488,0.98,0.769,0.2458570457558401,0.4664988701857592,15,22,4,1,19,28,4,1
397,489,0.995,0.847,0.2342645391236251,0.4510892470882819,15,22,4,1,20,28,4,1
397,490,1,0.924,0.2351938208007165,0.4463698634312332,15,22,4,1,21,28,4,1
397,491,1,1,0.24213022004710139,0.4509449730019811,15,22,4,1,22,28,4,1
397,497,0.566,0.632,0.44203106599466324,0.6207367545264184,15,22,4,1,10,29,4,1
397,498,0.614,0.611,0.42349032764559846,0.610827267498026,15,22,4,1,11,29,4,1
397,499,0.669,0.588,0.4010084558284991,0.5985370977752698,15,22,4,1,12,29,4,1
397,500,0.729,0.563,0.37505462269013945,0.5836004117828504,15,22,4,1,13,29,4,1
397,501,0.79,0.533,0.3471823042191261,0.5658805713795987,15,22,4,1,14,29,4,1
397,502,0.847,0.5,0.3199590835124462,0.5455074511300645,15,22,4,1,15,29,4,1
397,503,0.896,0.572,0.2957500810306647,0.5230861616615632,15,22,4,1,16,29,4,1
397,504,0.937,0.643,0.2760309577068093,0.4998569807649199,15,22,4,1,17,29,4,1
397,505,0.967,0.714,0.25216063128229327,0.47757025234678907,15,22,4,1,18,29,4,1
397,506,0.987,0.786,0.23537233934435786,0.4584637435051043,15,22,4,1,19,29,4,1
397,507,0.997,0.857,0.22838282743187643,0.44554428506547517,15,22,4,1,20,29,4,1
397,508,1,0.929,0.23031578697659294,0.4416057845511139,15,22,4,1,21,29,4,1
397,509,1,1,0.2359799853937392,0.44483524781258654,15,22,4,1,22,29,4,1
397,516,0.622,0.65,0.40747574491615124,0.6039443469339335,15,22,4,1,10,30,4,1
397,517,0.67,0.632,0.3881689463733832,0.5935006536460332,15,22,4,1,11,30,4,1
397,518,0.722,0.611,0.3657653814433425,0.5809150195227426,15,22,4,1,12,30,4,1
397,519,0.777,0.588,0.34097583918086316,0.5660155655011367,15,22,4,1,13,30,4,1
397,520,0.831,0.563,0.3154157612644327,0.5487676632142053,15,22,4,1,14,30,4,1
397,521,0.879,0.534,0.29129928870865707,0.5293929583694277,15,22,4,1,15,30,4,1
397,522,0.92,0.6,0.2706118624003886,0.5085405360243487,15,22,4,1,16,30,4,1
397,523,0.953,0.667,0.25512083821485665,0.4873993112547762,15,22,4,1,17,30,4,1
397,524,0.977,0.733,0.23851287995667314,0.4675668333229185,15,22,4,1,18,30,4,1
397,525,0.991,0.8,0.22682681836618357,0.45099928475776385,15,22,4,1,19,30,4,1
397,526,0.998,0.867,0.22290824860716307,0.44011496439741005,15,22,4,1,20,30,4,1
397,527,1,0.934,0.22524257158130578,0.4368414314040421,15,22,4,1,21,30,4,1
397,528,1,1,0.22996660940494706,0.43928372936404014,15,22,4,1,22,30,4,1
397,536,0.672,0.667,0.3755109569221843,0.5880196059386207,15,22,4,1,10,31,4,1
397,537,0.718,0.65,0.3559870778568275,0.5772179189777815,15,22,4,1,11,31,4,1
397,538,0.767,0.632,0.33416577659673363,0.5645092872193747,15,22,4,1,12,31,4,1
397,539,0.816,0.611,0.31088742874494424,0.549802603134876,15,22,4,1,13,31,4,1
397,540,0.863,0.588,0.28769045703760243,0.5331469379344433,15,22,4,1,14,31,4,1
397,541,0.904,0.563,0.26647331499993754,0.514832636170965,15,22,4,1,15,31,4,1
397,542,0.938,0.625,0.24884866081539403,0.4955281897698425,15,22,4,1,16,31,4,1
397,543,0.964,0.688,0.2362357978403823,0.4763520416831256,15,22,4,1,17,31,4,1
397,544,0.983,0.75,0.22728091814960416,0.45873798778988684,15,22,4,1,18,31,4,1
397,545,0.994,0.813,0.21956670825917324,0.44436575066930695,15,22,4,1,19,31,4,1
397,546,0.999,0.876,0.21771562053700555,0.43516077528592734,15,22,4,1,20,31,4,1
397,547,1,0.938,0.22020974596426923,0.4324343853732,15,22,4,1,21,31,4,1
397,548,1,1,0.22422143846914855,0.43433595031797234,15,22,4,1,22,31,4,1
397,557,0.715,0.682,0.34702895604295636,0.5731832530525798,15,22,4,1,10,32,4,1
397,558,0.758,0.667,0.3276355677767281,0.5621944798717048,15,22,4,1,11,32,4,1
397,559,0.803,0.65,0.3066114175307457,0.5495353730258037,15,22,4,1,12,32,4,1
397,560,0.847,0.632,0.2848827896135794,0.535184481323691,15,22,4,1,13,32,4,1
