spA_par,spB_par,Dissimilarity,Exclusivity,D,I,a_A,b_A,alpha_A,gamma_A,a_B,b_B,alpha_B,gamma_B
150,150,0,0,1,1,23,27,1,1,23,27,1,1
150,151,0.196,0.25,0.7748918430224885,0.8014638277527664,23,27,1,1,24,27,1,1
150,152,0.417,0.5,0.6012349503660515,0.7027487970787519,23,27,1,1,25,27,1,1
150,153,0.675,0.75,0.455938911119781,0.6316544787129079,23,27,1,1,26,27,1,1
150,154,0.589,0.778,0.2622485990285671,0.5105049447989387,23,27,1,1,10,28,1,1
150,155,0.57,0.765,0.27079647996852296,0.5157936628534457,23,27,1,1,11,28,1,1
150,156,0.549,0.75,0.28138855688964615,0.5221989611901089,23,27,1,1,12,28,1,1
150,157,0.525,0.734,0.2942419190875334,0.5297839429944993,23,27,1,1,13,28,1,1
150,158,0.499,0.715,0.31017791832065034,0.5388951583719996,23,27,1,1,14,28,1,1
150,159,0.471,0.692,0.3303207887347437,0.5499749179870173,23,27,1,1,15,28,1,1
150,160,0.439,0.667,0.3555264396695724,0.5632062241212055,23,27,1,1,16,28,1,1
150,161,0.403,0.636,0.38694500995227765,0.5790373012855917,23,27,1,1,17,28,1,1
150,162,0.363,0.6,0.4256756099048866,0.598635656971562,23,27,1,1,18,28,1,1
150,163,0.319,0.556,0.47590237491132836,0.624609368144233,23,27,1,1,19,28,1,1
150,164,0.271,0.5,0.5462014719114172,0.6621004438533893,23,27,1,1,20,28,1,1
150,165,0.219,0.429,0.6456620316798508,0.7179287543927412,23,27,1,1,21,28,1,1
150,166,0.167,0.334,0.779764210125355,0.8025305916131033,23,27,1,1,22,28,1,1
150,167,0.156,0.2,0.8705115784521735,0.8693753757086051,23,27,1,1,23,28,1,1
150,168,0.367,0.4,0.7220584494696046,0.7429544294833651,23,27,1,1,24,28,1,1
150,169,0.595,0.6,0.5674592255886053,0.6514960669842129,23,27,1,1,25,28,1,1
150,170,0.833,0.8,0.43280756454799685,0.5813094686377855,23,27,1,1,26,28,1,1
150,171,1,1,0.3837051932006298,0.5627258322495714,23,27,1,1,27,28,1,1
150,172,0.523,0.79,0.27858565303273886,0.5204932615772316,23,27,1,1,10,29,1,1
150,173,0.505,0.778,0.28771791478802655,0.5259435268371367,23,27,1,1,11,29,1,1
150,174,0.485,0.765,0.29891929959948793,0.5325015209409846,23,27,1,1,12,29,1,1
150,175,0.464,0.75,0.3123882606330868,0.5402245211558551,23,27,1,1,13,29,1,1
150,176,0.441,0.733,0.32890151428892567,0.5494370868519521,23,27,1,1,14,29,1,1
150,177,0.417,0.714,0.34947073390561123,0.5605407697867031,23,27,1,1,15,29,1,1
150,178,0.392,0.692,0.3747652786161225,0.5736692807466212,23,27,1,1,16,29,1,1
150,179,0.365,0.667,0.4054574512152528,0.5891751540223669,23,27,1,1,17,29,1,1
150,180,0.337,0.637,0.44222213130712296,0.6080390469236311,23,27,1,1,18,29,1,1
150,181,0.308,0.6,0.4884976333480485,0.6324401361878591,23,27,1,1,19,29,1,1
150,182,0.279,0.556,0.550481311615663,0.6662777721045605,23,27,1,1,20,29,1,1
150,183,0.25,0.5,0.6321808042751236,0.7129807042013057,23,27,1,1,21,29,1,1
150,184,0.219,0.429,0.7279789266142755,0.7718375884992009,23,27,1,1,22,29,1,1
150,185,0.267,0.333,0.7576068308157796,0.7902807913268364,23,27,1,1,23,29,1,1
150,186,0.475,0.5,0.6511208776340275,0.6864331440972382,23,27,1,1,24,29,1,1
150,187,0.688,0.667,0.5302198335909976,0.6062697027047264,23,27,1,1,25,29,1,1
150,188,0.887,0.834,0.41091589538146933,0.5448671939825803,23,27,1,1,26,29,1,1
150,189,1,1,0.36388318417433074,0.5272464614316146,23,27,1,1,27,29,1,1
150,191,0.481,0.8,0.2908266555629747,0.5275324333041114,23,27,1,1,10,30,1,1
150,192,0.465,0.79,0.3000965262231621,0.5329879576945269,23,27,1,1,11,30,1,1
150,193,0.448,0.778,0.31134995394442533,0.5395094077751117,23,27,1,1,12,30,1,1
150,194,0.431,0.765,0.3247578008824257,0.5471402458021373,23,27,1,1,13,30,1,1
150,195,0.413,0.75,0.3410169029454402,0.5561700753234793,23,27,1,1,14,30,1,1
150,196,0.394,0.733,0.36097561101660436,0.566941193128844,23,27,1,1,15,30,1,1
150,197,0.375,0.714,0.3850920048768881,0.5795196835038394,23,27,1,1,16,30,1,1
150,198,0.356,0.693,0.4135691205004246,0.5941372967124106,23,27,1,1,17,30,1,1
150,199,0.337,0.667,0.44670734986814276,0.6115514344582333,23,27,1,1,18,30,1,1
150,200,0.319,0.637,0.4871974989295177,0.6334616758175929,23,27,1,1,19,30,1,1
150,201,0.3,0.6,0.5391832466700102,0.6625001040391219,23,27,1,1,20,30,1,1
150,202,0.279,0.556,0.6028339149487831,0.6993014755503097,23,27,1,1,21,30,1,1
