spA_par,spB_par,Dissimilarity,Exclusivity,D,I,a_A,b_A,alpha_A,gamma_A,a_B,b_B,alpha_B,gamma_B,ND_magnitude,ND_angle
4472,4472,0,0,1,1,25,32,4,10,25,32,4,10,0,0
4472,4473,0.354,0.143,0.6243278114248754,0.7330015477925615,25,32,4,10,26,32,4,10,0.38179182809484014,21.996481911885123
4472,4474,0.677,0.286,0.30474653123361417,0.5287191433802713,25,32,4,10,27,32,4,10,0.734931969640728,22.901723846323492
4472,4475,0.894,0.429,0.09647647137458171,0.39388285915715193,25,32,4,10,28,32,4,10,0.9916032472718108,25.63475492104478
4472,4476,0.983,0.572,0.01176672426364378,0.3199184475511804,25,32,4,10,29,32,4,10,1.137309544495253,30.194789829614336
4472,4477,0.999,0.715,4.25524112847131e-4,0.2970545698176317,25,32,4,10,30,32,4,10,1.2285055962428497,35.591894069805875
4472,4478,1,0.857,5.430350320523303e-7,0.2930237783930144,25,32,4,10,31,32,4,10,1.3169848138835922,40.59657583596283
4472,4479,0.996,0.696,0.001188824618404305,0.30101640815068476,25,32,4,10,10,33,4,10,1.215085182199174,34.945664400005654
4472,4480,0.994,0.682,0.0016539848239564003,0.3026254595864799,25,32,4,10,11,33,4,10,1.2054708623604304,34.454668985357806
4472,4481,0.992,0.667,0.002357057402772811,0.30472506217331263,25,32,4,10,12,33,4,10,1.1953882214577822,33.91605898783147
4472,4482,0.988,0.65,0.003444337047478596,0.3075000642575557,25,32,4,10,13,33,4,10,1.1826428032165925,33.340707346477004
4472,4483,0.982,0.632,0.0051512986150558104,0.31119707569988597,25,32,4,10,14,33,4,10,1.1677962150991927,32.764705472795654
4472,4484,0.974,0.611,0.007857067029371279,0.3161464907166629,25,32,4,10,15,33,4,10,1.14978128354918,32.100462316091686
4472,4485,0.962,0.588,0.012182846624195554,0.322829699447328,25,32,4,10,16,33,4,10,1.127469733518377,31.43438362521339
4472,4486,0.944,0.563,0.019248833661796194,0.33203617471794666,25,32,4,10,17,33,4,10,1.099138298850513,30.81177869350963
4472,4487,0.916,0.533,0.031369004949645785,0.345263405140501,25,32,4,10,18,33,4,10,1.0597853556263175,30.194171856776244
4472,4488,0.875,0.5,0.05352902696624551,0.3654776363265827,25,32,4,10,19,33,4,10,1.0077822185373186,29.74488129694222
4472,4489,0.813,0.461,0.09613642474882,0.3981345098095356,25,32,4,10,20,33,4,10,0.9346068692236323,29.554783190523196
4472,4490,0.721,0.417,0.17892878765818332,0.45264746412676593,25,32,4,10,21,33,4,10,0.8329045563568493,30.043516311588967
4472,4491,0.587,0.364,0.3247628269154039,0.5408506509858422,25,32,4,10,22,33,4,10,0.6906989213832608,31.803142960097617
4472,4492,0.401,0.3,0.5346901075407903,0.6678954680849384,25,32,4,10,23,33,4,10,0.5008003594247912,36.80125257543796
