spA_par,spB_par,Dissimilarity,Exclusivity,D,I,a_A,b_A,alpha_A,gamma_A,a_B,b_B,alpha_B,gamma_B,ND_magnitude,ND_angle
176,176,0,0,1,1,14,29,1,1,14,29,1,1,0,0
176,177,0.051,0.067,0.9431940447551215,0.9333980870923148,14,29,1,1,15,29,1,1,0.08420213774008355,52.721825800130986
176,178,0.102,0.133,0.8777267517724792,0.872654954822128,14,29,1,1,16,29,1,1,0.16760966559241147,52.51477754421986
176,179,0.156,0.2,0.804770935774239,0.8129137842094316,14,29,1,1,17,29,1,1,0.25364542179980304,52.04576912486749
176,180,0.21,0.267,0.7269425607723095,0.7553409702847526,14,29,1,1,18,29,1,1,0.3396895641611617,51.814352889409754
176,181,0.267,0.333,0.6475753012081462,0.7044553153895897,14,29,1,1,19,29,1,1,0.42682314838818197,51.27729848959756
176,182,0.325,0.4,0.5585055576539824,0.6541453006392421,14,29,1,1,20,29,1,1,0.5153882032022076,50.9061411137705
176,183,0.386,0.467,0.45513734447159904,0.5982103326487962,14,29,1,1,21,29,1,1,0.605875399731661,50.42448257649607
176,184,0.448,0.534,0.33637656123939674,0.5363493182664014,14,29,1,1,22,29,1,1,0.6970365844057255,50.004987270512885
176,185,0.514,0.6,0.22077685533601699,0.47646181758351613,14,29,1,1,23,29,1,1,0.7900607571573214,49.41443730943629
176,186,0.583,0.667,0.13601754111416164,0.431004344117917,14,29,1,1,24,29,1,1,0.8858769666268561,48.84449629236031
176,187,0.656,0.734,0.08995114625028999,0.4019922556805512,14,29,1,1,25,29,1,1,0.9844247050943002,48.21179046849704
176,188,0.733,0.8,0.05364300506980857,0.3744175527197312,14,29,1,1,26,29,1,1,1.0850294926867197,47.50252824409249
176,189,0.816,0.867,0.025489159646841286,0.3477140342538545,14,29,1,1,27,29,1,1,1.1906069880527326,46.73570458892839
176,190,0.904,0.934,0.007602761910619704,0.3221863607582194,14,29,1,1,28,29,1,1,1.2998353741916706,45.93510379094613
176,191,0.14,0.25,0.8607257336417744,0.8583601079964941,14,29,1,1,10,30,1,1,0.2865309756378881,60.751173663453024
176,192,0.113,0.21,0.8863160860294291,0.8786910117943709,14,29,1,1,11,30,1,1,0.23847222060441337,61.71551682075095
176,193,0.085,0.166,0.9156373084351969,0.9036178851759366,14,29,1,1,12,30,1,1,0.18649664876345634,62.88536587523306
176,194,0.059,0.117,0.9464019729186706,0.9311697305192694,14,29,1,1,13,30,1,1,0.13103434664239755,63.23940084665116
176,195,0.047,0.062,0.96166337084538,0.9457008204613072,14,29,1,1,14,30,1,1,0.0778010282708397,52.835525106488554
176,196,0.1,0.125,0.9187499880835069,0.9076489912838666,14,29,1,1,15,30,1,1,0.16007810593582122,51.34019174590991
176,197,0.154,0.187,0.8571705027340348,0.8536417715528276,14,29,1,1,16,30,1,1,0.24224987100099765,50.527540151656176
176,198,0.209,0.25,0.7868222845370646,0.7968056464489985,14,29,1,1,17,30,1,1,0.3258542619024646,50.10437667616786
176,199,0.266,0.312,0.710930489788461,0.7407213307884615,14,29,1,1,18,30,1,1,0.41000000000000003,49.55028113766384
176,200,0.324,0.375,0.6326699067549124,0.6901613812503946,14,29,1,1,19,30,1,1,0.49558147665141805,49.172984476079506
176,201,0.384,0.437,0.544756047057372,0.6395321506177548,14,29,1,1,20,30,1,1,0.5817430704357379,48.693627868498616
176,202,0.447,0.5,0.4422694221898197,0.5832820190643707,14,29,1,1,21,30,1,1,0.6706780151458671,48.20328590290337
176,203,0.512,0.563,0.32596268442134047,0.5216008778296974,14,29,1,1,22,30,1,1,0.7609947437400603,47.71618180113403
176,204,0.579,0.625,0.21441055819823096,0.4628459091599266,14,29,1,1,23,30,1,1,0.8519776992386596,47.18797722951205
176,205,0.649,0.688,0.13329794232212544,0.4187801546839055,14,29,1,1,24,30,1,1,0.9458038908780191,46.670831677890064
176,206,0.723,0.75,0.08869123842769089,0.38986233703285356,14,29,1,1,25,30,1,1,1.041743250518092,46.05011054053864
176,207,0.799,0.813,0.05289213709269558,0.36234229380158023,14,29,1,1,26,30,1,1,1.1398991183433735,45.49759351516161
176,208,0.877,0.875,0.025219162058126465,0.3362284414563682,14,29,1,1,27,30,1,1,1.23885188783809,44.93459388741448
176,209,0.952,0.938,0.007550986111702129,0.3117944848979126,14,29,1,1,28,30,1,1,1.3364684807357037,44.57559458063853
176,210,1,1,1.1102230246251565e-16,0.29289321881345254,14,29,1,1,29,30,1,1,1.4142135623730951,45
176,211,0.146,0.286,0.8559482270311181,0.8507878464988377,14,29,1,1,10,31,1,1,0.3211105728561425,62.956165152626745
176,212,0.126,0.25,0.8774276207538911,0.8669894591245935,14,29,1,1,11,31,1,1,0.2799571395767574,63.25189583707854
176,213,0.105,0.21,0.9006334020699628,0.8851070078126584,14,29,1,1,12,31,1,1,0.2347871376374779,63.43494882292201
176,214,0.085,0.166,0.9216891270916729,0.9012909186785389,14,29,1,1,13,31,1,1,0.18649664876345634,62.88536587523306
176,215,0.09,0.117,0.9239074646831335,0.9041558757334809,14,29,1,1,14,31,1,1,0.14761097520171054,52.43140797117251
176,216,0.144,0.176,0.8876376150703719,0.8735338220946375,14,29,1,1,15,31,1,1,0.22740272645683032,50.71059313749964
176,217,0.199,0.235,0.8323869855857793,0.8264929322579593,14,29,1,1,16,31,1,1,0.30793830550939905,49.74178975451906
176,218,0.255,0.294,0.7657602431300664,0.7737564392684222,14,29,1,1,17,31,1,1,0.38917990698390376,49.06336599293304
176,219,0.313,0.353,0.6924469543450869,0.7200819695119913,14,29,1,1,18,31,1,1,0.47178172919264266,48.43705919425451
176,220,0.372,0.412,0.6157256811547669,0.670526049355912,14,29,1,1,19,31,1,1,0.5550927850368801,47.92072152100038
176,221,0.434,0.47,0.5286529142691425,0.6202338412068837,14,29,1,1,20,31,1,1,0.6397311935492906,47.28048532468188
176,222,0.497,0.529,0.4276718664475123,0.5644269554953791,14,29,1,1,21,31,1,1,0.7258443359288547,46.786423766751284
176,223,0.561,0.588,0.3140471836115247,0.5038453526360052,14,29,1,1,22,31,1,1,0.8126899777898089,46.346128284113036
176,224,0.628,0.647,0.2070169298833202,0.4471072936064021,14,29,1,1,23,31,1,1,0.9016612445924468,45.853756265713315
176,225,0.697,0.706,0.13021294527453464,0.40508212181720216,14,29,1,1,24,31,1,1,0.9920912256440936,45.36753737892448
176,226,0.767,0.765,0.0871082788607993,0.37715645243988905,14,29,1,1,25,31,1,1,1.0832885118932998,44.925201374721084
176,227,0.838,0.824,0.0519063896717884,0.35098960874895246,14,29,1,1,26,31,1,1,1.175253164216119,44.517375486438276
176,228,0.907,0.883,0.02481863015835628,0.3270294423911412,14,29,1,1,27,31,1,1,1.2658349023470636,44.231834459858305
176,229,0.968,0.941,0.007476539525789305,0.3060294282470315,14,29,1,1,28,31,1,1,1.3500018518505816,44.18968941514848
176,230,1,1,1.1102230246251565e-16,0.29289321881345254,14,29,1,1,29,31,1,1,1.4142135623730951,45
176,232,0.159,0.318,0.8427550462353832,0.8369466134748862,14,29,1,1,10,32,1,1,0.3555348084224666,63.43494882292201
176,233,0.143,0.286,0.8600786001012959,0.8489604104345724,14,29,1,1,11,32,1,1,0.3197577207824699,63.43494882292201
176,234,0.126,0.25,0.8775372149102016,0.8611450187713856,14,29,1,1,12,32,1,1,0.2799571395767574,63.25189583707854
176,235,0.113,0.21,0.8907034863113594,0.8698394225280173,14,29,1,1,13,32,1,1,0.23847222060441337,61.71551682075095
176,236,0.129,0.166,0.8853330854596478,0.8671899197498165,14,29,1,1,14,32,1,1,0.2102308255228048,52.148919467879296
176,237,0.183,0.222,0.8519672798637657,0.8396840974099293,14,29,1,1,15,32,1,1,0.2877029718303236,50.50041147020191
176,238,0.239,0.278,0.8027574783720274,0.7973686700321936,14,29,1,1,16,32,1,1,0.36661287484211463,49.313948346534424
176,239,0.296,0.333,0.7407740844648909,0.7482550116659423,14,29,1,1,17,32,1,1,0.44553899941531494,48.366460663429805
176,240,0.354,0.389,0.6705600319261329,0.6970597799987184,14,29,1,1,18,32,1,1,0.5259629264501444,47.696999944148075
176,241,0.414,0.444,0.5953824671370959,0.6488023902135969,14,29,1,1,19,32,1,1,0.6070683651780909,47.00253313182689
176,242,0.475,0.5,0.5095985035475651,0.5993122825061676,14,29,1,1,20,32,1,1,0.689655711206686,46.46880071438583
176,243,0.538,0.556,0.41059483646454387,0.5445816350534418,14,29,1,1,21,32,1,1,0.7736795202149273,45.94262429781159
176,244,0.601,0.611,0.30038393732711277,0.485874089625574,14,29,1,1,22,32,1,1,0.8570425893734802,45.472726727790175
176,245,0.667,0.667,0.19836855347828597,0.43184423937407235,14,29,1,1,23,32,1,1,0.9432804461028544,45
176,246,0.733,0.722,0.12661983681465672,0.3923398778835656,14,29,1,1,24,32,1,1,1.0288697682408596,44.56684428348307
176,247,0.799,0.778,0.08507592824572274,0.3659931685499421,14,29,1,1,25,32,1,1,1.1152062589494376,44.23707022405526
176,248,0.864,0.834,0.050618745329454096,0.3417917607116082,14,29,1,1,26,32,1,1,1.20085469562308,43.98781238601755
176,249,0.925,0.889,0.024294429289614228,0.32038763601711107,14,29,1,1,27,32,1,1,1.282944270028905,43.86307754388734
176,250,0.976,0.945,0.0073580490868484505,0.3026848600416592,14,29,1,1,28,32,1,1,1.3585289838645327,44.07547370760929
176,251,1,1,1.1102230246251565e-16,0.29289321881345254,14,29,1,1,29,32,1,1,1.4142135623730951,45
176,254,0.174,0.348,0.8246734171008445,0.8203515254471866,14,29,1,1,10,33,1,1,0.3890758280849634,63.43494882292201
176,255,0.159,0.318,0.8380857600776453,0.8288553840738615,14,29,1,1,11,33,1,1,0.3555348084224666,63.43494882292201
176,256,0.146,0.286,0.8504864888934166,0.8365992130693629,14,29,1,1,12,33,1,1,0.3211105728561425,62.956165152626745
176,257,0.14,0.25,0.8572989682755596,0.8404679508071824,14,29,1,1,13,33,1,1,0.2865309756378881,60.751173663453024
176,258,0.164,0.211,0.846783293256923,0.8345926745225738,14,29,1,1,14,33,1,1,0.267239592875008,52.14382034544134
176,259,0.219,0.263,0.8143606042252289,0.8086252352360832,14,29,1,1,15,33,1,1,0.34224260401066375,50.21586391590542
176,260,0.275,0.316,0.7693028454496733,0.7694399613775644,14,29,1,1,16,33,1,1,0.4189045237282596,48.96847584256189
176,261,0.332,0.368,0.7117845622544899,0.7232209994909444,14,29,1,1,17,33,1,1,0.49562889342733035,47.94404634998762
176,262,0.391,0.421,0.6449631573141625,0.6742936642308781,14,29,1,1,18,33,1,1,0.5745624422114624,47.11587677569447
176,263,0.45,0.474,0.5718646852016002,0.6274563586704183,14,29,1,1,19,33,1,1,0.6535870255750186,46.48786752882778
176,264,0.51,0.527,0.48799038314698007,0.579102652218336,14,29,1,1,20,33,1,1,0.7333682567441817,45.93919094573558
176,265,0.572,0.579,0.3913031300859221,0.5259102455981896,14,29,1,1,21,33,1,1,0.8138949563672205,45.34844961941398
176,266,0.634,0.632,0.28555552535966056,0.4695610928024083,14,29,1,1,22,33,1,1,0.8951983020537964,44.90948541572074
176,267,0.698,0.684,0.18906433421929292,0.4185382672997161,14,29,1,1,23,33,1,1,0.9772717124730461,44.41959951099722
176,268,0.761,0.737,0.12260128526284764,0.3816690429877122,14,29,1,1,24,33,1,1,1.059381895257796,44.08212211539649
176,269,0.823,0.79,0.0826979258658902,0.3570916779243378,14,29,1,1,25,33,1,1,1.1408019109380911,43.82796218824464
176,270,0.883,0.843,0.04914570896285586,0.33491794351465376,14,29,1,1,26,33,1,1,1.2207940039171228,43.67240960930376
176,271,0.938,0.895,0.02367146506932305,0.31583709652892533,14,29,1,1,27,33,1,1,1.2964833203709178,43.656155631666735
176,272,0.981,0.948,0.007186924357866942,0.3006951468899687,14,29,1,1,28,33,1,1,1.3642085617675912,44.01991897030658
176,273,1,1,0,0.2928932188134524,14,29,1,1,29,33,1,1,1.4142135623730951,45
176,277,0.188,0.375,0.8031071459447341,0.8024032506103157,14,29,1,1,10,34,1,1,0.41948659096567076,63.37386592547393
176,278,0.176,0.348,0.8129265381828871,0.8080637060388309,14,29,1,1,11,34,1,1,0.3899743581314033,63.17212598968548
176,279,0.167,0.318,0.8208629394224204,0.8124664462071662,14,29,1,1,12,34,1,1,0.3591837969619454,62.293465408593434
176,280,0.168,0.286,0.8224959470708544,0.8129825643313251,14,29,1,1,13,34,1,1,0.3316926287996162,59.56948765307027
176,281,0.196,0.25,0.8081058267696009,0.8049411873919675,14,29,1,1,14,34,1,1,0.3176727876290319,51.90355391972503
176,282,0.252,0.3,0.7756900907344131,0.7798876835833445,14,29,1,1,15,34,1,1,0.3917958652155482,49.9697407281103
176,283,0.308,0.35,0.7329464021947509,0.7429605395257322,14,29,1,1,16,34,1,1,0.46622312254970794,48.65222278030633
176,284,0.365,0.4,0.6791352372480293,0.6991228544335286,14,29,1,1,17,34,1,1,0.5415025392368904,47.619548795394685
176,285,0.423,0.45,0.6157471892065619,0.6522728495874766,14,29,1,1,18,34,1,1,0.6175993847147194,46.77146974003408
176,286,0.481,0.5,0.5451092744577364,0.6069247541215594,14,29,1,1,19,34,1,1,0.6938018449096255,46.10956546450535
176,287,0.541,0.55,0.46353821115928373,0.5599398503511364,14,29,1,1,20,34,1,1,0.7714797469797895,45.47264007237666
176,288,0.601,0.6,0.3700789631379586,0.5085872278263817,14,29,1,1,21,34,1,1,0.8492355385874992,44.95229328370337
176,289,0.662,0.65,0.26956096912568805,0.4548540758374975,14,29,1,1,22,34,1,1,0.9277629007456593,44.4759678485696
176,290,0.723,0.7,0.1792332432146012,0.4069078377944719,14,29,1,1,23,34,1,1,1.0063443744563787,44.074006893275715
176,291,0.783,0.75,0.11802873402766556,0.37261395573271794,14,29,1,1,24,34,1,1,1.0842458208358472,43.76681751208307
176,292,0.842,0.8,0.08000593729958438,0.3497963180316378,14,29,1,1,25,34,1,1,1.1614490948810456,43.53477580118464
176,293,0.897,0.85,0.04745184517397916,0.329525597773044,14,29,1,1,26,34,1,1,1.2357625176384013,43.45892832015705
176,294,0.946,0.9,0.02292101176295902,0.31245993817729334,14,29,1,1,27,34,1,1,1.3057243200614745,43.5725565873526
176,295,0.984,0.95,0.00697719225180049,0.2993352174467906,14,29,1,1,28,34,1,1,1.3677558261619653,43.99283565103253
176,296,1,1,0,0.2928932188134524,14,29,1,1,29,34,1,1,1.4142135623730951,45
176,301,0.201,0.4,0.7808185406687224,0.7853840253313594,14,29,1,1,10,35,1,1,0.4476617026282235,63.32047189330873
176,302,0.192,0.375,0.7875163942396655,0.7888884558784176,14,29,1,1,11,35,1,1,0.4212944338583172,62.88755357204426
176,303,0.187,0.348,0.7917202743908235,0.790876573439969,14,29,1,1,12,35,1,1,0.39506075482133124,61.7483576966028
176,304,0.194,0.318,0.7892937061057583,0.789079060320761,14,29,1,1,13,35,1,1,0.37250503352303843,58.61418274482936
176,305,0.226,0.286,0.7720093671224781,0.7795707180758864,14,29,1,1,14,35,1,1,0.36451611761347397,51.68386410803412
176,306,0.281,0.333,0.7391190389193782,0.7551123042428456,14,29,1,1,15,35,1,1,0.4357177985806869,49.840859675664156
176,307,0.337,0.381,0.697506151809663,0.7198382745373415,14,29,1,1,16,35,1,1,0.5086550894270104,48.50677657764122
176,308,0.394,0.428,0.6461128112597432,0.6779165958575994,14,29,1,1,17,35,1,1,0.5817387729900767,47.36854828772535
176,309,0.451,0.476,0.58559638414315,0.6328857899950581,14,29,1,1,18,35,1,1,0.6557263148600946,46.544819173197276
176,310,0.509,0.524,0.5175169912109783,0.5889858960336884,14,29,1,1,19,35,1,1,0.73051830914769,45.83192284134689
176,311,0.568,0.571,0.4387705001846982,0.5434427946184389,14,29,1,1,20,35,1,1,0.8053974174281912,45.1509103960129
176,312,0.627,0.619,0.34919459261177543,0.49398830626563794,14,29,1,1,21,35,1,1,0.881073209217032,44.632134881390286
176,313,0.686,0.667,0.2540269498242299,0.44279266821691354,14,29,1,1,22,35,1,1,0.9568098034614821,44.195455831610225
176,314,0.744,0.714,0.17015554887439577,0.39764548528877786,14,29,1,1,23,35,1,1,1.0311799067088148,43.82124083008877
176,315,0.802,0.762,0.11353779176469314,0.36560430187055193,14,29,1,1,24,35,1,1,1.1062766380973614,43.53495416990745
176,316,0.857,0.809,0.07724736276493449,0.34432411089793846,14,29,1,1,25,35,1,1,1.1785287438157799,43.34967778380919
176,317,0.908,0.857,0.04577247759346459,0.32563225907479587,14,29,1,1,26,35,1,1,1.248564375593025,43.344888433259705
176,318,0.953,0.905,0.022181169747407248,0.31013300054221593,14,29,1,1,27,35,1,1,1.3142427477448753,43.52013679901626
176,319,0.986,0.953,0.006756825145029399,0.29845655646005487,14,29,1,1,28,35,1,1,1.3712786004309991,44.02497256150732
176,320,1,1,1.1102230246251565e-16,0.29289321881345254,14,29,1,1,29,35,1,1,1.4142135623730951,45
176,332,1,1,1.1102230246251565e-16,0.29289321881345254,14,29,1,1,10,14,4,1,1.4142135623730951,45
176,333,1,1,1.1102230246251565e-16,0.29289321881345254,14,29,1,1,11,14,4,1,1.4142135623730951,45
176,334,1,1,0,0.2928932188134524,14,29,1,1,12,14,4,1,1.4142135623730951,45
176,335,1,1,1.1102230246251565e-16,0.29289321881345254,14,29,1,1,13,14,4,1,1.4142135623730951,45
176,336,0.966,0.948,0.009577482218948608,0.3122997651883086,14,29,1,1,10,15,4,1,1.3534622270311054,44.46118410211724
176,337,0.958,0.945,0.009613537599645117,0.3153339778650541,14,29,1,1,11,15,4,1,1.3456556022994888,44.608600342904886
176,338,0.945,0.941,0.009643527179988398,0.3194830862309007,14,29,1,1,12,15,4,1,1.3336063887069527,44.87848209203723
176,339,0.919,0.938,0.00966904831632398,0.3247666462013795,14,29,1,1,13,15,4,1,1.3131660214915706,45.5862045373393
176,340,0.85,0.934,0.00965134499300846,0.32696085261525265,14,29,1,1,14,15,4,1,1.262876082598764,47.695792311635856
176,341,0.89,0.895,0.04086820871857422,0.35091011892443147,14,29,1,1,10,16,4,1,1.262190556136434,45.16049195983462
176,342,0.87,0.889,0.04109102478183635,0.3558877915338948,14,29,1,1,11,16,4,1,1.2438733858395716,45.61886155525655
176,343,0.839,0.883,0.04130348992022237,0.3613348343769064,14,29,1,1,12,16,4,1,1.2180353032650573,46.46368517204832
176,344,0.789,0.875,0.04146993873350058,0.3660956869519072,14,29,1,1,13,16,4,1,1.1781960787576913,47.95856780598434
176,345,0.722,0.867,0.041165232876591795,0.36546377859606105,14,29,1,1,14,16,4,1,1.1282610513529217,50.213934959924835
176,346,0.692,0.934,0.028793546645156542,0.35109368340986047,14,29,1,1,15,16,4,1,1.1624198897128353,53.46527686924682
176,347,0.793,0.843,0.0968134407010599,0.3975146845654425,14,29,1,1,10,17,4,1,1.1573668389927196,46.75054860416278
176,348,0.762,0.834,0.09748979039801253,0.40304655641611054,14,29,1,1,11,17,4,1,1.1296902230257637,47.58302066863506
176,349,0.719,0.824,0.09811366262463983,0.40824246773053074,14,29,1,1,12,17,4,1,1.0935890452999242,48.892933491782614
176,350,0.655,0.813,0.09868183628052551,0.411483379802669,14,29,1,1,13,17,4,1,1.044027777408245,51.1430641873321
176,351,0.616,0.8,0.09713234256234271,0.40882566364675677,14,29,1,1,14,17,4,1,1.0096811377855883,52.403728852788014
176,352,0.601,0.867,0.08092732008192016,0.39630362822344145,14,29,1,1,15,17,4,1,1.0549360170171458,55.27049648516377
176,353,0.594,0.934,0.04986915230640021,0.3707626902552684,14,29,1,1,16,17,4,1,1.106883914419213,57.5446879137097
176,354,0.688,0.79,0.1739844556679152,0.44767941579645687,14,29,1,1,10,18,4,1,1.047589614305144,48.947847064939296
176,355,0.649,0.778,0.17541119985777887,0.45307131822294266,14,29,1,1,11,18,4,1,1.0131559603535876,50.16546604933326
176,356,0.597,0.765,0.17676706464777436,0.45744782075523216,14,29,1,1,12,18,4,1,0.9703782767560287,52.03180203930897
176,357,0.543,0.75,0.17803150345554064,0.45907373594338297,14,29,1,1,13,18,4,1,0.9259314229466457,54.09546159002481
176,358,0.529,0.734,0.17285686691717794,0.45478502919450214,14,29,1,1,14,18,4,1,0.9047635050111161,54.219388969743164
176,359,0.525,0.8,0.1520274541880231,0.44222924643845307,14,29,1,1,15,18,4,1,0.9568829604502319,56.72511201516508
176,360,0.528,0.867,0.11708545725866504,0.420164795573824,14,29,1,1,16,18,4,1,1.0151221601364044,58.6587298566843
176,361,0.534,0.934,0.06773223330965472,0.3850073783160919,14,29,1,1,17,18,4,1,1.0758773164259947,60.2419077788019
176,362,0.58,0.737,0.2625227605713034,0.49772729474952304,14,29,1,1,10,19,4,1,0.9378534000578129,51.798166574495724
176,363,0.535,0.722,0.2644787163063407,0.5024418115276814,14,29,1,1,11,19,4,1,0.8986150455005748,53.461656691869344
176,364,0.479,0.706,0.2663510927908861,0.5055190403596828,14,29,1,1,12,19,4,1,0.8531570781514972,55.844274817967786
176,365,0.46,0.688,0.26810245501405316,0.5052199826002828,14,29,1,1,13,19,4,1,0.8276134363336545,56.23312852603767
176,366,0.46,0.667,0.2551747815006187,0.4989572586111164,14,29,1,1,14,19,4,1,0.8102400878751927,55.40771131249006
176,367,0.466,0.734,0.22837140686389712,0.48522745505926135,14,29,1,1,15,19,4,1,0.8694319984909689,57.589459534957726
176,368,0.475,0.8,0.18912813093818692,0.4636534785056884,14,29,1,1,16,19,4,1,0.9303897032964198,59.30027744918559
