spA_par,spB_par,Dissimilarity,Exclusivity,D,I,a_A,b_A,alpha_A,gamma_A,a_B,b_B,alpha_B,gamma_B,ND_magnitude,ND_angle
2040,2040,0,0,1,1,21,23,7,4,21,23,7,4,0,0
2040,2041,0.618,0.501,0.3279057258324696,0.5486384266566112,21,23,7,4,22,23,7,4,0.7955658363705671,39.0309771340704
2040,2042,0.859,0.858,0.06005752461083569,0.3738282359509085,21,23,7,4,10,24,7,4,1.2141025492107327,44.96663030108632
2040,2043,0.831,0.847,0.07530000432060813,0.38619595245272254,21,23,7,4,11,24,7,4,1.186579116620548,45.54630792064079
2040,2044,0.797,0.834,0.09566293078504762,0.4016191503231129,21,23,7,4,12,24,7,4,1.153587881351048,46.299558731847696
2040,2045,0.754,0.818,0.12298113215990258,0.4209566477882899,21,23,7,4,13,24,7,4,1.1124926966052406,47.33136508673461
2040,2046,0.701,0.8,0.1596628393445516,0.4452951189838509,21,23,7,4,14,24,7,4,1.0636733521152064,48.773536569532276
2040,2047,0.634,0.778,0.20860571073728162,0.47603167368857346,21,23,7,4,15,24,7,4,1.0036134714121767,50.823063676322924
2040,2048,0.553,0.75,0.2735315165415907,0.5150411797057974,21,23,7,4,16,24,7,4,0.9318309932600439,53.59741107780512
2040,2049,0.46,0.714,0.35883402079604654,0.5648865692932237,21,23,7,4,17,24,7,4,0.8493503399657881,57.20802919967204
2040,2050,0.367,0.667,0.4670279219335661,0.6278703779651692,21,23,7,4,18,24,7,4,0.7613002035990796,61.17931459927063
2040,2051,0.301,0.6,0.5835413923973816,0.6969474810360268,21,23,7,4,19,24,7,4,0.671268202732708,63.358605391069524
2040,2052,0.282,0.501,0.6207193963061222,0.7141350433414758,21,23,7,4,20,24,7,4,0.5749130369021039,60.62595999388584
2040,2053,0.627,0.334,0.3615902379699437,0.5641774685041046,21,23,7,4,21,24,7,4,0.7104118523786044,28.04402170038101
2040,2054,0.952,0.667,0.05439441526881916,0.34059001407851286,21,23,7,4,22,24,7,4,1.1624082759512684,35.016248449780605
2040,2055,1,1,0,0.2928932188134524,21,23,7,4,23,24,7,4,1.4142135623730951,45
2040,2056,0.687,0.867,0.126294940431401,0.42423570172866354,21,23,7,4,10,25,7,4,1.1061907611257653,51.607133302227496
2040,2057,0.645,0.858,0.15121298606186406,0.44043351971811884,21,23,7,4,11,25,7,4,1.0734006707655812,53.06604896606907
2040,2058,0.598,0.847,0.18192142524908472,0.4595604754247816,21,23,7,4,12,25,7,4,1.0368283368041211,54.777095719700775
2040,2059,0.547,0.834,0.21929118043994522,0.4819992341247741,21,23,7,4,13,25,7,4,0.9973790653507822,56.74012073244145
2040,2060,0.495,0.819,0.2637362545579085,0.5080078287495021,21,23,7,4,14,25,7,4,0.9569670840734283,58.851419013804986
2040,2061,0.445,0.8,0.3151267619884919,0.5375378245814604,21,23,7,4,15,25,7,4,0.9154370540894661,60.91500026477534
2040,2062,0.403,0.778,0.37180734962359774,0.5697865550412725,21,23,7,4,16,25,7,4,0.8761809173909234,62.61607562563277
2040,2063,0.376,0.75,0.4284213044786016,0.6018973209430774,21,23,7,4,17,25,7,4,0.8389731819313415,63.37386592547393
2040,2064,0.358,0.715,0.47079860386334516,0.6252664217855963,21,23,7,4,18,25,7,4,0.7996180338136453,63.4029042068487
2040,2065,0.38,0.667,0.4639498036499503,0.6188659103985619,21,23,7,4,19,25,7,4,0.7676516136894392,60.32918009921499
2040,2066,0.57,0.6,0.34457850054362127,0.5517728475965518,21,23,7,4,20,25,7,4,0.8275868534480233,46.46880071438583
2040,2067,0.864,0.5,0.13357497994500245,0.4195527726866368,21,23,7,4,21,25,7,4,0.9982464625532114,30.058125479486673
2040,2068,0.991,0.751,0.010589927954315681,0.3070254310648308,21,23,7,4,22,25,7,4,1.2434154575201324,37.15559081691558
2040,2069,1,1,0,0.2928932188134524,21,23,7,4,23,25,7,4,1.4142135623730951,45
2040,2071,0.548,0.875,0.18295841594704665,0.46012074174580087,21,23,7,4,10,26,7,4,1.0324383758849727,57.94167409490863
2040,2072,0.513,0.867,0.21008485363310625,0.4763134874216388,21,23,7,4,11,26,7,4,1.007401608098776,59.387387873444595
2040,2073,0.479,0.858,0.24093532060901157,0.4943386465893137,21,23,7,4,12,26,7,4,0.9826520238619569,60.82646641177278
2040,2074,0.449,0.847,0.27509227222051635,0.5139656586863451,21,23,7,4,13,26,7,4,0.9586500925781002,62.07165750815411
2040,2075,0.425,0.833,0.31137101917973264,0.5345713659673265,21,23,7,4,14,26,7,4,0.9351545326843046,62.96913974015701
2040,2076,0.41,0.819,0.3473335951092983,0.5548370476439204,21,23,7,4,15,26,7,4,0.915893552766914,63.406972370305006
2040,2077,0.4,0.8,0.3784942641460599,0.5721644772393459,21,23,7,4,16,26,7,4,0.894427190999916,63.43494882292201
2040,2078,0.396,0.778,0.39644220897833093,0.5815859733143657,21,23,7,4,17,26,7,4,0.8729833904490967,63.02402302389139
2040,2079,0.43,0.75,0.3855098688051297,0.574266023657489,21,23,7,4,18,26,7,4,0.8645229898620395,60.17291534552527
2040,2080,0.555,0.715,0.3210077483433802,0.5376947795179814,21,23,7,4,19,26,7,4,0.9051243008559653,52.18053549772015
2040,2081,0.774,0.667,0.18964024535129076,0.46279478411895725,21,23,7,4,20,26,7,4,1.0217460545556318,40.75335315083224
2040,2082,0.948,0.6,0.0559348654456836,0.36316612166072504,21,23,7,4,21,26,7,4,1.1219197832287298,32.33018573505035
2040,2083,0.998,0.8,0.0027237983391938947,0.29875794249292975,21,23,7,4,22,26,7,4,1.2790637200702708,38.71577480968507
2040,2084,1,1,1.1102230246251565e-16,0.29289321881345254,21,23,7,4,23,26,7,4,1.4142135623730951,45
2040,2087,0.475,0.883,0.2199823586790718,0.4819855860589475,21,23,7,4,10,27,7,4,1.00265347952321,61.722465975297
2040,2088,0.455,0.875,0.2442264048082512,0.49601234662310356,21,23,7,4,11,27,7,4,0.986230196252376,62.52556837372287
2040,2089,0.44,0.867,0.2698252793159174,0.510635302307618,21,23,7,4,12,27,7,4,0.9722597389586797,63.092337849638895
2040,2090,0.43,0.857,0.29558211419473546,0.5252042926456494,21,23,7,4,13,27,7,4,0.9588268873993887,63.35477754197083
2040,2091,0.423,0.846,0.31948719207115095,0.5385980391501864,21,23,7,4,14,27,7,4,0.945856754482411,63.43494882292201
2040,2092,0.418,0.833,0.33833694417017623,0.5489685710752261,21,23,7,4,15,27,7,4,0.9319940986937632,63.35246935084579
2040,2093,0.424,0.819,0.3469408534614685,0.5533552917160125,21,23,7,4,16,27,7,4,0.9222456288863612,62.62919321310182
2040,2094,0.461,0.8,0.3370970544022158,0.5472170118473579,21,23,7,4,17,27,7,4,0.9233206376985191,60.047303111574855
2040,2095,0.553,0.778,0.29692843668421054,0.5243288871210584,21,23,7,4,18,27,7,4,0.9545119171597598,54.59490263279324
2040,2096,0.71,0.75,0.21567136357958483,0.47847138477189843,21,23,7,4,19,27,7,4,1.0327632836231155,46.56935480474899
2040,2097,0.882,0.714,0.1059903947699482,0.40932689253725596,21,23,7,4,20,27,7,4,1.1347775112329288,38.99099404250548
2040,2098,0.978,0.667,0.024429592679459433,0.33468230211418015,21,23,7,4,21,27,7,4,1.183796012833292,34.29414778450639
2040,2099,0.999,0.834,7.799737372119475e-4,0.2956601355319417,21,23,7,4,22,27,7,4,1.3013673578202274,39.85630524032165
2040,2100,1,1,1.1102230246251565e-16,0.29289321881345254,21,23,7,4,23,27,7,4,1.4142135623730951,45
2040,2104,0.45,0.889,0.23963710824070028,0.4932299891990246,21,23,7,4,10,28,7,4,0.9964040345161194,63.152072497165186
2040,2105,0.442,0.883,0.2589270717157205,0.5042410664156287,21,23,7,4,11,28,7,4,0.9874477201350965,63.40899964919211
2040,2106,0.438,0.876,0.27762690320900263,0.5148081514472935,21,23,7,4,12,28,7,4,0.9793977741449079,63.43494882292201
2040,2107,0.434,0.867,0.2941813317807517,0.5240651623880959,21,23,7,4,13,28,7,4,0.9695591781835702,63.40852088221641
2040,2108,0.433,0.857,0.30628366321938194,0.5307062118499661,21,23,7,4,14,28,7,4,0.9601760255286528,63.19477229975149
2040,2109,0.445,0.847,0.3105537710445754,0.5328214922138357,21,23,7,4,15,28,7,4,0.9567831520255778,62.28329537907717
2040,2110,0.481,0.834,0.3020889652834162,0.5277169446256454,21,23,7,4,16,28,7,4,0.9627652881154368,60.026291117208615
2040,2111,0.555,0.819,0.27435100394304324,0.5118520972728569,21,23,7,4,17,28,7,4,0.9893361410562135,55.87624688313103
2040,2112,0.673,0.8,0.22057503006900014,0.4813304627466447,21,23,7,4,18,28,7,4,1.045432446406749,49.92777564353848
2040,2113,0.817,0.778,0.14109761045050584,0.4339128822405611,21,23,7,4,19,28,7,4,1.1281724159010447,43.599316464561575
2040,2114,0.936,0.75,0.05860488219650062,0.37380349419547454,21,23,7,4,20,28,7,4,1.1994148573366932,38.70457057272777
