spA_par,spB_par,Dissimilarity,Exclusivity,D,I,a_A,b_A,alpha_A,gamma_A,a_B,b_B,alpha_B,gamma_B,ND_magnitude,ND_angle
1341,1341,0,0,1,1,14,19,1,4,14,19,1,4,0,0
1341,1342,0.377,0.2,0.6201827385376371,0.6909751252833765,14,19,1,4,15,19,1,4,0.4267657437049042,27.94612842641367
1341,1343,0.721,0.4,0.260599460401832,0.4985647687139101,14,19,1,4,16,19,1,4,0.8245247115763117,29.020857030584136
1341,1344,0.931,0.6,0.05174656866807581,0.37214862983348884,14,19,1,4,17,19,1,4,1.1075924340658887,32.800497556108674
1341,1345,0.995,0.8,0.002204007191600854,0.308206423682197,14,19,1,4,18,19,1,4,1.2767243241984545,38.79998113532084
1341,1346,0.682,0.5,0.36315081580855824,0.55266308560456,14,19,1,4,10,20,1,4,0.8456500458227387,36.246552832269415
1341,1347,0.566,0.444,0.4595431266367753,0.6006225896948809,14,19,1,4,11,20,1,4,0.7193691680910435,38.11249222769481
1341,1348,0.405,0.375,0.6021412843588521,0.675380083477702,14,19,1,4,12,20,1,4,0.551951084789223,42.797401838234194
1341,1349,0.205,0.286,0.7822667773221341,0.7895389875535854,14,19,1,4,13,20,1,4,0.35188208252197206,54.36768109900066
1341,1350,0.11,0.167,0.8694985422819068,0.9032353127673568,14,19,1,4,14,20,1,4,0.199972498109115,56.627797615186246
1341,1351,0.467,0.334,0.5666751588699368,0.6595347560115342,14,19,1,4,15,20,1,4,0.5741471936707521,35.57247984044576
1341,1352,0.772,0.5,0.24550609079262742,0.4787852481997148,14,19,1,4,16,20,1,4,0.9197738852565885,32.929854510612074
1341,1353,0.948,0.667,0.05063356460589097,0.3613139592743234,14,19,1,4,17,20,1,4,1.1591345909772515,35.129701501395836
1341,1354,0.997,0.834,0.0022022692100365227,0.30428437566673394,14,19,1,4,18,20,1,4,1.299832681540205,39.912803020920826
1341,1355,1,1,0,0.2928932188134524,14,19,1,4,19,20,1,4,1.4142135623730951,45
1341,1356,0.587,0.546,0.4308765147722542,0.5868196216306651,14,19,1,4,10,21,1,4,0.801676368617661,42.92753542331758
1341,1357,0.467,0.5,0.5198290890641875,0.6325748552348869,14,19,1,4,11,21,1,4,0.6841703004369599,46.954526624826194
1341,1358,0.325,0.445,0.6376284490598088,0.6995217560414365,14,19,1,4,12,21,1,4,0.5510444628158422,53.857958763628346
1341,1359,0.198,0.375,0.7586806691056199,0.7883304531326143,14,19,1,4,13,21,1,4,0.424062495394252,62.165946059449176
1341,1360,0.192,0.286,0.7641704008251575,0.8281761205581737,14,19,1,4,14,21,1,4,0.34447060832529675,56.125405641758725
1341,1361,0.528,0.429,0.5099546157059918,0.6234529681851116,14,19,1,4,15,21,1,4,0.6803124282269141,39.0938588862295
1341,1362,0.804,0.572,0.22903366708369433,0.4582781737399513,14,19,1,4,16,21,1,4,0.9867117106835208,35.42967456548878
1341,1363,0.957,0.715,0.04924940490508034,0.3514233694239235,14,19,1,4,17,21,1,4,1.194602025780971,36.76438067579049
1341,1364,0.998,0.858,0.002194668623832552,0.30153778962258804,14,19,1,4,18,21,1,4,1.3161185356950187,40.68628914597143
1341,1365,1,1,1.1102230246251565e-16,0.29289321881345254,14,19,1,4,19,21,1,4,1.4142135623730951,45
1341,1367,0.51,0.583,0.47067440049411946,0.6087969384850795,14,19,1,4,10,22,1,4,0.7745895687394712,48.82103327238015
1341,1368,0.402,0.546,0.5453659000344826,0.6496913569004505,14,19,1,4,11,22,1,4,0.6780265481527992,53.637131415070755
1341,1369,0.294,0.5,0.6350358279201147,0.7052440053987388,14,19,1,4,12,22,1,4,0.5800310336525106,59.54447182510819
1341,1370,0.223,0.444,0.7111997265439423,0.7670600171261337,14,19,1,4,13,22,1,4,0.4968551096647794,63.33180621694292
1341,1371,0.256,0.375,0.6784156222262336,0.7690955875879888,14,19,1,4,14,22,1,4,0.45404955676665953,55.67994929146146
1341,1372,0.573,0.5,0.45742262028044245,0.5907070511918782,14,19,1,4,15,22,1,4,0.7604794540288382,41.10796212938299
1341,1373,0.825,0.625,0.21237347959045216,0.44036978563234463,14,19,1,4,16,22,1,4,1.0350120772242226,37.14668669802179
1341,1374,0.962,0.75,0.04760366615431033,0.3434360541533993,14,19,1,4,17,22,1,4,1.2198131004379318,37.94089766229969
1341,1375,0.998,0.875,0.002183850538382659,0.29973665499869484,14,19,1,4,18,22,1,4,1.3272637266195442,41.24277828428066
1341,1376,1,1,0,0.2928932188134524,14,19,1,4,19,22,1,4,1.4142135623730951,45
1341,1379,0.455,0.615,0.4887657612938393,0.6208628912048566,14,19,1,4,10,23,1,4,0.7650163396947807,53.504579240878805
1341,1380,0.365,0.583,0.5486527164140794,0.6556233802176552,14,19,1,4,11,23,1,4,0.6878328285273972,57.95046841144663
1341,1381,0.29,0.546,0.6144816710795636,0.6991145074015335,14,19,1,4,12,23,1,4,0.6182362008164841,62.02564084938799
1341,1382,0.25,0.5,0.6594600783035962,0.7388039034987011,14,19,1,4,13,23,1,4,0.5590169943749475,63.43494882292201
