spA_par,spB_par,Dissimilarity,Exclusivity,D,I,a_A,b_A,alpha_A,gamma_A,a_B,b_B,alpha_B,gamma_B,ND_magnitude,ND_angle
5040,5040,0,0,1,1,21,28,10,10,21,28,10,10,0,0
5040,5041,0.275,0.143,0.66209520654156,0.7786974949672818,21,28,10,10,22,28,10,10,0.30995806167931816,27.474431626277127
5040,5042,0.551,0.286,0.3633561149416831,0.5765686663176247,21,28,10,10,23,28,10,10,0.6208035115880064,27.4318520232045
5040,5043,0.787,0.429,0.15377567186394925,0.4343624849139086,21,28,10,10,24,28,10,10,0.8963314119230676,28.595154943816603
5040,5044,0.937,0.572,0.04139082961375362,0.34515599389946816,21,28,10,10,25,28,10,10,1.0977946073833666,31.402350245322836
5040,5045,0.993,0.715,0.003148204524179299,0.30206303874943563,21,28,10,10,26,28,10,10,1.2236314804711426,35.75540723797567
5040,5046,1,0.857,1.3418560143696467e-5,0.29323316944303424,21,28,10,10,27,28,10,10,1.3169848138835922,40.59657583596283
5040,5047,0.919,0.632,0.05954733878640639,0.362670816577336,21,28,10,10,10,29,10,10,1.1153407551058108,34.516460156925874
5040,5048,0.896,0.611,0.07675706568495522,0.37698301270251233,21,28,10,10,11,29,10,10,1.0844985016126116,34.29084524118524
5040,5049,0.865,0.588,0.09921349348276431,0.3947731274795637,21,28,10,10,12,29,10,10,1.0459297299532124,34.20664236534661
5040,5050,0.825,0.563,0.12847240458484888,0.41691079776719486,21,28,10,10,13,29,10,10,0.9987962755236925,34.31057517381373
5040,5051,0.773,0.533,0.16657521704370348,0.4446123515692155,21,28,10,10,14,29,10,10,0.9389451528177778,34.587092105653426
5040,5052,0.705,0.5,0.21671717616782704,0.4797220919052452,21,28,10,10,15,29,10,10,0.8643060800434068,35.345022904343814
5040,5053,0.617,0.461,0.2839046364332294,0.5251249014192059,21,28,10,10,16,29,10,10,0.770201272395729,36.765750667170686
5040,5054,0.505,0.417,0.37553009276214866,0.5851890085305518,21,28,10,10,17,29,10,10,0.6549152616942134,39.54793784744416
5040,5055,0.366,0.364,0.5018908079004214,0.665965588615532,21,28,10,10,18,29,10,10,0.5161898875413969,44.84302565436219
5040,5056,0.21,0.3,0.6731693530937637,0.7737419162031517,21,28,10,10,19,29,10,10,0.3661966684720111,55.00797980144134
5040,5057,0.111,0.222,0.857702248126807,0.8946556596324439,21,28,10,10,20,29,10,10,0.24820354550247667,63.43494882292201
5040,5058,0.24,0.125,0.7496753852611524,0.8342375694184297,21,28,10,10,21,29,10,10,0.2706011825546962,27.512002623851455
5040,5059,0.495,0.25,0.4638029925174405,0.648181228009493,21,28,10,10,22,29,10,10,0.5545493666031907,26.796081293973465
5040,5060,0.72,0.375,0.23759425054972727,0.4881500711679003,21,28,10,10,23,29,10,10,0.8118035476640885,27.512002623851455
5040,5061,0.885,0.5,0.09409254483046126,0.38059372232381516,21,28,10,10,24,29,10,10,1.0164767582192915,29.465221384766682
5040,5062,0.972,0.625,0.021853099930839393,0.3185495537958367,21,28,10,10,25,29,10,10,1.1555989788849763,32.74118434201937
5040,5063,0.998,0.75,0.001406360689352737,0.29588770581355284,21,28,10,10,26,29,10,10,1.2484005767380917,36.92497207250216
5040,5064,1,0.876,4.890769576215703e-6,0.2929263562519441,21,28,10,10,27,29,10,10,1.3294269442131825,41.218359795425336
5040,5065,1,1,0,0.2928932188134524,21,28,10,10,28,29,10,10,1.4142135623730951,45
5040,5066,0.855,0.65,0.09329323021398683,0.39299959460443135,21,28,10,10,10,30,10,10,1.0740228116758042,37.24332853740763
5040,5067,0.818,0.632,0.11714484728650365,0.41119500514239216,21,28,10,10,11,30,10,10,1.0337059543216338,37.6902532864929
5040,5068,0.771,0.611,0.14738731386598014,0.43328554448564927,21,28,10,10,12,30,10,10,0.9837489517148164,38.39602577013079
5040,5069,0.712,0.588,0.1856995210635518,0.4601777662183173,21,28,10,10,13,30,10,10,0.9234110677266111,39.55134855864014
5040,5070,0.639,0.563,0.23451213508279112,0.4931551547396311,21,28,10,10,14,30,10,10,0.851639595133998,41.38212114744892
5040,5071,0.55,0.533,0.2974156481024771,0.5341091903381816,21,28,10,10,15,30,10,10,0.7658909844096613,44.10069412435933
5040,5072,0.445,0.5,0.37939440034082583,0.5857462845432111,21,28,10,10,16,30,10,10,0.6693466964137494,48.33091738045005
5040,5073,0.331,0.462,0.4862166548187711,0.6513874165155759,21,28,10,10,17,30,10,10,0.5683352883641839,54.38028698967304
5040,5074,0.232,0.416,0.618944725888373,0.7328128295929353,21,28,10,10,18,30,10,10,0.47631922069133426,60.851928154286945
5040,5075,0.182,0.364,0.7491808546678433,0.8172419964323795,21,28,10,10,19,30,10,10,0.4069643719049617,63.43494882292201
5040,5076,0.21,0.3,0.7600820775591339,0.823740013174624,21,28,10,10,20,30,10,10,0.3661966684720111,55.00797980144134
5040,5077,0.431,0.222,0.5436516575723462,0.6998769855804367,21,28,10,10,21,30,10,10,0.48481439747598254,27.252144745479598
5040,5078,0.65,0.333,0.3169523235216448,0.5463927210277575,21,28,10,10,22,30,10,10,0.730334854707072,27.126412560241167
5040,5079,0.824,0.445,0.1545681704505244,0.42388706024793843,21,28,10,10,23,30,10,10,0.9364833153879464,28.371199662797935
5040,5080,0.936,0.556,0.0570063571631666,0.3452054847540219,21,28,10,10,24,30,10,10,1.088683608767947,30.71103576609104
5040,5081,0.987,0.667,0.011082904671005145,0.30522016007309816,21,28,10,10,25,30,10,10,1.191242208788792,34.05024579585459
5040,5082,0.999,0.778,6.239738357585178e-4,0.29389828948579977,21,28,10,10,26,30,10,10,1.266208908513915,37.910701733027835
5040,5083,1,0.889,1.8764069281695939e-6,0.2928988161077831,21,28,10,10,27,30,10,10,1.3380287739805896,41.63709543013025
5040,5084,1,1,0,0.2928932188134524,21,28,10,10,28,30,10,10,1.4142135623730951,45
5040,5086,0.768,0.667,0.1329549904670122,0.42449378964629547,21,28,10,10,10,31,10,10,1.0172084348844144,40.97397466848835
5040,5087,0.716,0.65,0.16329306993322856,0.44585398514629804,21,28,10,10,11,31,10,10,0.9670346426059411,42.233833851480526
5040,5088,0.654,0.632,0.2008357938965144,0.4712862075812988,21,28,10,10,12,31,10,10,0.9094723745117276,44.01991897030658
5040,5089,0.582,0.611,0.24733767158094788,0.5016554294229405,21,28,10,10,13,31,10,10,0.8438275890251514,46.392498277969786
