spA_par,spB_par,Dissimilarity,Exclusivity,D,I,a_A,b_A,alpha_A,gamma_A,a_B,b_B,alpha_B,gamma_B,ND_magnitude,ND_angle
4142,4142,0,0,1,1,20,32,1,10,20,32,1,10,0,0
4142,4143,0.335,0.083,0.6587521879269593,0.7127714952569839,20,32,1,10,21,32,1,10,0.3451289614042844,13.91545142022227
4142,4144,0.626,0.167,0.3283967200426017,0.5332607848513169,20,32,1,10,22,32,1,10,0.647892738036166,14.937113716149515
4142,4145,0.827,0.25,0.10990763937006243,0.4132172514845709,20,32,1,10,23,32,1,10,0.8639612259818145,16.81993361322497
4142,4146,0.934,0.333,0.025202784898131436,0.34615048665405557,20,32,1,10,24,32,1,10,0.991587111654846,19.62272941107521
4142,4147,0.98,0.417,0.006118698258666844,0.3187522055372266,20,32,1,10,25,32,1,10,1.06503004652451,23.05024768523209
4142,4148,0.995,0.5,0.0013218108320347532,0.3046484355620088,20,32,1,10,26,32,1,10,1.1135640978408023,26.680102788531915
4142,4149,0.999,0.584,1.9863275925657842e-4,0.29740429088389886,20,32,1,10,27,32,1,10,1.1571763046312347,30.30989800225055
4142,4150,1,0.667,2.2129953319072193e-5,0.2944042090864398,20,32,1,10,28,32,1,10,1.202035357217083,33.70328759485296
4142,4151,1,0.75,9.852802138610173e-7,0.2932069678438328,20,32,1,10,29,32,1,10,1.25,36.86989764584402
4142,4152,1,0.834,1.3966669376586083e-8,0.29293095139445535,20,32,1,10,30,32,1,10,1.3021351696348578,39.82810630428432
4142,4153,1,0.917,8.767431225464861e-12,0.2928941630618591,20,32,1,10,31,32,1,10,1.3567936468011634,42.52082345847564
4142,4154,0.984,0.478,0.02344990410880554,0.34554783064200567,20,32,1,10,10,33,1,10,1.0939561234345736,25.909200090830034
4142,4155,0.976,0.454,0.030645242561136543,0.3535888798935498,20,32,1,10,11,33,1,10,1.076425566400204,24.94615004400301
4142,4156,0.964,0.428,0.041652280823152976,0.3644486826503499,20,32,1,10,12,33,1,10,1.0547416745345752,23.94042668090036
4142,4157,0.945,0.4,0.058122288043116366,0.3786774443592439,20,32,1,10,13,33,1,10,1.0261700638783027,22.94198924997228
4142,4158,0.914,0.368,0.08343873642063826,0.397768422921454,20,32,1,10,14,33,1,10,0.9853019841652609,21.930988864779355
4142,4159,0.865,0.333,0.12640211934592605,0.425898083007599,20,32,1,10,15,33,1,10,0.9268840272655474,21.055263396507687
4142,4160,0.788,0.294,0.1985020864629018,0.46721883224447325,20,32,1,10,16,33,1,10,0.8410588564422825,20.460366300149104
4142,4161,0.669,0.25,0.3179413851240044,0.5293989162018998,20,32,1,10,17,33,1,10,0.7141855501198551,20.49031754330402
4142,4162,0.493,0.2,0.5028143189273722,0.6241174288740927,20,32,1,10,18,33,1,10,0.5320234957217586,22.081386634218237
4142,4163,0.25,0.143,0.7365473826810442,0.7595689259540492,20,32,1,10,19,33,1,10,0.28800868042474,29.7695564803922
4142,4164,0.048,0.077,0.961375766040884,0.9736548021798467,20,32,1,10,20,33,1,10,0.0907358804442873,58.06155108332812
4142,4165,0.371,0.153,0.6438919985544304,0.7062137263991375,20,32,1,10,21,33,1,10,0.40131035371642226,22.411198090126803
4142,4166,0.648,0.231,0.3237583353083754,0.5290185406172906,20,32,1,10,22,33,1,10,0.6879425848135875,19.62020964154441
4142,4167,0.838,0.308,0.10916128607303388,0.410425409775784,20,32,1,10,23,33,1,10,0.8928090501333418,20.180488330779355
4142,4168,0.939,0.384,0.02513140303474437,0.34458673219316205,20,32,1,10,24,33,1,10,1.0144836124846965,22.24189554335102
4142,4169,0.982,0.461,0.006114763516341881,0.3179075076292657,20,32,1,10,25,33,1,10,1.0848248706588544,25.147712817518233
4142,4170,0.996,0.539,0.0013218108320347532,0.3041500158620041,20,32,1,10,26,33,1,10,1.1324915010718624,28.420685755494105
4142,4171,0.999,0.615,1.9863275925657842e-4,0.29717021510476593,20,32,1,10,27,33,1,10,1.173126591634509,31.617101137014032
4142,4172,1,0.692,2.212995331896117e-5,0.2943117438662767,20,32,1,10,28,33,1,10,1.216085523308291,34.68323429289684
4142,4173,1,0.769,9.852802138610173e-7,0.2931783511215037,20,32,1,10,29,33,1,10,1.2614915774590014,37.560284279318815
4142,4174,1,0.847,1.3966669376586083e-8,0.292925890348968,20,32,1,10,30,33,1,10,1.3104995230827061,40.26459927013793
4142,4175,1,0.923,8.767431225464861e-12,0.292893929826031,20,32,1,10,31,33,1,10,1.3608559806239602,42.707010169212275
4142,4176,1,1,0,0.2928932188134524,20,32,1,10,32,33,1,10,1.4142135623730951,45
4142,4177,0.978,0.5,0.030924370882649765,0.3544692145983601,20,32,1,10,10,34,1,10,1.098400655498712,27.078273260434482
4142,4178,0.968,0.478,0.039758378368285996,0.36333249854093297,20,32,1,10,11,34,1,10,1.0795869580538662,26.280236060703633
4142,4179,0.952,0.454,0.05300482367204795,0.3751914222922219,20,32,1,10,12,34,1,10,1.0547132311676004,25.49604279650813
4142,4180,0.928,0.428,0.07242135239004366,0.39060013049944076,20,32,1,10,13,34,1,10,1.0219432469565028,24.759477425560792
4142,4181,0.89,0.4,0.10164484971675047,0.41110746341752114,20,32,1,10,14,34,1,10,0.9757561170702441,24.20097159115851
4142,4182,0.833,0.368,0.14986647401418796,0.440926243835303,20,32,1,10,15,34,1,10,0.9106662396289872,23.834725155766204
4142,4183,0.747,0.333,0.22812021002628313,0.48404418260611837,20,32,1,10,16,34,1,10,0.8178618465242159,24.0265065786792
4142,4184,0.618,0.294,0.35290789546778045,0.547647076032446,20,32,1,10,17,34,1,10,0.6843683218852258,25.44174846300256
4142,4185,0.436,0.25,0.5384273584845825,0.6421785092598244,20,32,1,10,18,34,1,10,0.5025892955485621,29.829721974588555
4142,4186,0.203,0.2,0.7639340816552871,0.7738926176780901,20,32,1,10,19,34,1,10,0.2849719284420836,44.57348842788572
4142,4187,0.09,0.143,0.9267829853003535,0.9497843133587489,20,32,1,10,20,34,1,10,0.16896449331146468,57.81489410810922
