spA_par,spB_par,Dissimilarity,Exclusivity,D,I,a_A,b_A,alpha_A,gamma_A,a_B,b_B,alpha_B,gamma_B,ND_magnitude,ND_angle
944,944,0,0,1,1,27,34,7,1,27,34,7,1,0,0
944,945,0.091,0.143,0.9089335120024362,0.9360840008789866,27,34,7,1,28,34,7,1,0.16949926253526884,57.52880770915151
944,946,0.186,0.286,0.8041657961752977,0.8617131868719575,27,34,7,1,29,34,7,1,0.3411627177755506,56.96205139766623
944,947,0.287,0.429,0.6835330171606824,0.7764550507765502,27,34,7,1,30,34,7,1,0.5161492032348786,56.217569663892796
944,948,0.395,0.572,0.5400860568546427,0.6806572983920944,27,34,7,1,31,34,7,1,0.6951323614967152,55.37261507820362
944,949,0.519,0.715,0.3615502026167443,0.5689862265385548,27,34,7,1,32,34,7,1,0.8835077815163825,54.025073431790275
944,950,0.676,0.857,0.1468354654698647,0.43064949305565103,27,34,7,1,33,34,7,1,1.0915241637270336,51.7336892672897
944,951,0.382,0.72,0.45618105399523234,0.621649547553683,27,34,7,1,10,35,7,1,0.8150607339333676,62.05156551070469
944,952,0.372,0.709,0.47579604771904993,0.633500237491911,27,34,7,1,11,35,7,1,0.8006653483197583,62.31478302532376
944,953,0.363,0.696,0.4960677033575174,0.6457878747989134,27,34,7,1,12,35,7,1,0.7849745218795321,62.455629168582526
944,954,0.352,0.682,0.5169756169127959,0.6584824422142579,27,34,7,1,13,35,7,1,0.767481595870546,62.7004277886672
944,955,0.342,0.667,0.5384937091774924,0.6715459826781842,27,34,7,1,14,35,7,1,0.7495685425629868,62.85380631119272
944,956,0.331,0.65,0.5606119824209909,0.6849313354501656,27,34,7,1,15,35,7,1,0.7294251161017147,63.01340562954055
944,957,0.319,0.632,0.583319356251067,0.6985789452817658,27,34,7,1,16,35,7,1,0.7079442068411889,63.217783294904244
944,958,0.307,0.611,0.6066162269698401,0.7124091508212398,27,34,7,1,17,35,7,1,0.683790903712531,63.32253082555912
944,959,0.295,0.588,0.6304976547795562,0.7263049340054819,27,34,7,1,18,35,7,1,0.6578518070203957,63.35704842291095
944,960,0.281,0.563,0.65489573959282,0.7400765907111517,27,34,7,1,19,35,7,1,0.6292296877929394,63.47567076312501
944,961,0.267,0.533,0.679668356636693,0.7533963883033127,27,34,7,1,20,35,7,1,0.5961358905484554,63.391966250705394
944,962,0.25,0.5,0.7044094578007243,0.76569171345204,27,34,7,1,21,35,7,1,0.5590169943749475,63.43494882292201
944,963,0.232,0.461,0.728243763351184,0.7759957202941327,27,34,7,1,22,35,7,1,0.5160862331045074,63.28599999161819
944,964,0.216,0.417,0.7493662550039643,0.7827867388040519,27,34,7,1,23,35,7,1,0.4696221885728995,62.616493361233395
944,965,0.206,0.364,0.7642187744678759,0.7839118713862306,27,34,7,1,24,35,7,1,0.41824872982473,60.493000169306924
944,966,0.216,0.3,0.7654012868279654,0.7767543579386339,27,34,7,1,25,35,7,1,0.3696701232179847,54.24611274556325
944,967,0.269,0.222,0.7396516187049984,0.7587319853191126,27,34,7,1,26,35,7,1,0.3487764326900543,39.53213516019925
